Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual
1869,54,61,60,76,84,87,92,95,86,74,61,62,95
1870,58,52,56,80,86,94,93,90,85,76,67,57,94
1871,50,53,65,85,92,90,91,89,83,76,67,55,92
1872,50,57,62,83,89,93,96,93,93,76,60,49,96
1873,54,50,55,64,87,92,94,90,89,72,58,66,94
1874,63,72,64,64,90,98,93,91,90,71,66,51,98
1875,40,54,60,67,86,93,89,85,89,74,63,64,93
1876,68,56,66,69,87,92,98,93,87,74,73,49,98
1877,47,58,57,76,88,89,92,90,85,76,68,59,92
1878,51,56,69,76,84,89,94,90,90,80,60,60,94
1879,52,52,69,76,86,92,98,92,87,85,76,64,98
1880,65,69,72,80,96,94,91,89,89,79,68,49,96
1881,41,53,54,81,93,88,90,96,101,87,68,67,101
1882,49,58,64,73,80,92,93,90,87,75,69,51,93
1883,45,54,60,68,82,91,95,89,79,80,68,55,95
1884,48,56,63,69,86,91,90,91,91,82,61,59,91
1885,60,46,58,81,87,92,99,91,84,73,69,60,99
1886,54,52,62,84,86,84,94,90,87,78,71,55,94
1887,62,63,49,79,87,91,96,89,85,77,64,58,96
1888,54,52,57,83,84,96,89,94,80,66,72,55,96
1889,57,49,61,78,91,91,89,87,82,73,63,64,91
1890,64,68,71,79,81,90,98,91,88,75,69,49,98
1891,54,59,58,80,82,97,90,98,91,86,64,66,98
1892,59,50,56,80,81,95,97,95,84,76,67,58,97
1893,52,54,50,72,85,95,94,93,82,78,60,59,95
1894,57,50,67,75,85,93,96,87,93,70,65,57,96
1895,51,46,58,86,96,96,95,92,97,70,72,60,97
1896,49,57,60,90,92,92,93,98,89,72,72,57,98
1897,55,51,62,77,81,89,93,89,93,87,68,63,93
1898,56,58,69,74,86,94,100,93,93,81,66,57,100
1899,53,53,63,78,88,95,95,94,86,79,64,59,95
1900,57,57,55,74,90,92,97,96,92,80,74,59,97
1901,53,42,53,80,85,95,100,92,88,75,60,60,100
1902,51,54,67,84,86,88,90,89,87,74,69,55,90
1903,51,62,70,82,89,81,95,89,88,76,70,54,95
1904,54,53,65,72,89,93,94,88,86,79,60,51,94
1905,53,41,73,75,81,91,96,92,88,82,64,59,96
1906,62,58,55,77,90,94,92,95,90,74,65,59,95
1907,64,47,74,74,85,90,91,92,86,74,61,57,92
1908,50,52,72,79,88,94,96,94,81,80,62,64,96
1909,57,56,64,80,83,93,93,92,82,77,73,53,93
1910,48,56,78,80,82,90,94,86,92,84,63,54,94
1911,56,51,64,77,86,88,100,94,86,73,69,63,100
1912,54,59,68,79,89,94,97,92,91,81,72,64,97
1913,63,62,77,82,89,93,95,95,86,77,72,58,95
1914,58,53,73,82,95,92,91,94,95,83,76,64,95
1915,58,58,59,92,79,90,93,89,94,79,71,57,94
1916,69,60,65,70,81,84,94,95,93,86,71,63,95
1917,51,55,62,83,84,89,100,98,84,73,63,47,100
1918,53,59,76,78,91,94,98,104,81,78,66,63,104
1919,61,52,67,73,92,95,99,91,93,87,72,61,99
1920,51,47,71,76,82,94,91,91,88,84,69,58,94
1921,57,62,84,79,89,95,95,95,96,77,73,59,96
1922,50,64,76,86,85,91,92,94,93,89,67,57,94
1923,53,44,76,87,86,98,99,92,86,74,65,64,99
1924,57,46,66,73,75,91,95,99,95,81,71,61,99
1925,45,62,71,84,91,99,94,92,88,77,67,58,99
1926,54,51,67,82,83,89,100,96,89,82,66,49,100
1927,52,56,69,90,79,89,92,83,92,90,73,68,92
1928,58,55,69,80,79,86,94,94,85,86,73,60,94
1929,62,56,77,89,93,95,95,92,99,74,76,56,99
1930,64,75,63,76,91,94,102,96,88,78,66,58,102
1931,56,56,58,71,93,97,97,99,99,86,73,68,99
1932,70,58,63,78,90,92,92,91,96,79,62,63,96
1933,61,60,59,78,90,97,102,100,90,78,69,55,102
1934,58,42,71,77,90,101,98,89,87,77,74,64,101
1935,58,59,77,83,89,89,95,93,82,77,73,56,95
1936,54,52,70,81,92,90,106,96,91,77,75,63,106
1937,66,57,61,72,93,93,100,95,93,79,67,63,100
1938,57,60,77,89,81,90,93,96,86,90,78,61,96
1939,55,69,73,86,96,94,94,94,88,91,67,61,96
1940,54,54,63,67,83,94,98,90,92,80,71,62,98
1941,47,49,58,87,96,96,98,97,93,94,72,62,98
1942,57,52,69,91,92,89,97,93,93,84,74,58,97
1943,56,63,72,78,89,99,93,94,91,83,66,57,99
1944,62,60,62,80,92,93,94,102,97,88,69,53,102
1945,55,58,86,83,84,97,96,93,91,80,72,54,97
1946,62,63,79,78,87,91,94,89,90,87,71,70,94
1947,63,50,63,79,86,90,94,95,89,85,61,58,95
1948,45,59,74,75,87,92,94,103,89,80,74,58,103
1949,61,73,75,79,92,96,102,100,87,88,74,63,102
1950,72,51,67,76,82,95,94,88,87,86,84,60,95
1951,64,64,62,84,90,89,94,91,85,84,68,64,94
1952,60,51,64,82,83,100,97,90,94,80,73,59,100
1953,57,67,67,77,90,97,101,100,102,82,73,63,102
1954,56,71,68,78,85,92,100,92,88,87,64,61,100
1955,50,61,71,84,90,88,100,100,83,83,68,53,100
1956,48,59,63,84,89,99,93,93,87,84,71,67,99
1957,60,60,69,85,87,96,101,95,91,79,66,59,101
1958,53,49,57,78,82,89,93,91,89,83,65,55,93
1959,61,52,71,83,94,97,90,94,93,88,73,57,97
1960,54,65,70,87,82,89,91,91,90,82,69,64,91
1961,55,65,73,82,85,96,97,93,95,84,78,58,97
1962,56,56,79,91,99,93,96,91,88,85,62,68,99
1963,51,51,79,81,86,96,98,88,87,83,69,55,98
1964,55,52,75,86,94,99,99,92,92,78,71,60,99
1965,55,61,61,80,94,95,93,91,92,81,71,63,95
1966,62,58,67,73,85,101,103,94,91,79,70,66,103
1967,68,60,72,81,81,96,90,90,87,86,65,62,96
1968,50,49,76,82,80,94,98,94,87,85,77,60,98
1969,48,44,70,86,97,96,96,94,93,80,67,60,97
1970,51,57,56,82,93,91,94,94,94,80,67,66,94
1971,46,66,69,76,85,93,96,92,91,78,75,63,96
1972,62,62,73,86,86,86,94,94,92,74,68,61,94
1973,66,58,66,86,82,95,94,98,96,82,77,66,98
1974,66,62,70,89,92,95,95,92,88,77,81,56,95
1975,63,58,64,74,93,93,93,98,81,83,78,61,98
1976,56,70,72,96,83,92,90,94,89,73,61,55,96
1977,44,58,81,90,92,88,104,93,94,70,65,56,104
1978,58,41,65,82,90,91,95,92,86,76,70,67,95
1979,63,57,76,81,94,87,95,95,90,88,73,65,95
1980,60,57,59,76,90,94,102,97,96,79,71,64,102
1981,49,68,77,81,87,93,96,92,89,71,72,58,96
1982,58,58,60,82,84,87,98,89,88,81,79,72,98
1983,58,59,68,85,79,95,98,96,99,84,69,59,99
1984,57,63,58,78,85,96,91,92,86,79,69,70,96
1985,58,75,82,88,87,85,92,95,94,80,77,55,95
1986,63,48,78,82,94,91,98,89,89,84,73,59,98
1987,57,52,76,77,97,96,95,94,85,72,77,60,97
1988,53,62,76,73,91,98,99,99,84,79,67,60,99
1989,61,67,82,77,86,92,96,94,94,77,70,53,96
1990,66,65,85,91,83,89,95,93,89,84,78,66,95
1991,55,70,77,90,93,97,102,94,93,80,74,66,102
1992,62,64,64,81,93,87,93,91,86,78,71,61,93
1993,64,56,68,79,92,95,102,96,95,78,80,62,102
1994,55,62,71,84,91,98,97,91,88,75,76,65,98
1995,64,54,72,76,87,95,102,96,91,86,72,55,102
1996,56,62,63,85,96,88,89,90,89,76,69,63,96
1997,62,72,68,74,83,93,97,93,83,85,65,54,97
1998,65,58,86,73,87,92,93,91,90,74,63,75,93
1999,60,62,74,80,89,94,101,98,83,75,72,63,101
2000,64,64,71,75,93,92,89,90,84,79,67,62,93
2001,54,61,57,87,92,91,94,103,86,81,75,71,103
2002,69,63,72,96,86,92,96,98,91,84,68,60,98
2003,50,50,69,88,79,93,94,91,80,77,79,58,94
2004,58,59,70,85,87,91,87,90,87,75,68,59,91
2005,66,56,63,87,79,93,97,99,92,80,72,55,99
2006,64,62,74,83,88,91,95,97,83,79,69,70,97
2007,72,49,78,86,91,91,92,92,88,87,66,61,92
2008,64,68,63,84,83,96,96,90,90,75,67,67,96
2009,47,65,70,92,86,84,86,92,84,74,69,66,92
2010,57,46,74,92,92,93,103,96,96,75,65,60,103
2011,53,67,77,83,89,95,104,94,86,84,70,62,104
2012,62,62,78,88,89,94,100,91,91,78,66,62,100
2013,61,55,59,82,90,92,98,90,96,86,70,71,98
2014,58,56,66,77,86,89,91,90,92,77,69,65,92
2015,56,43,62,80,88,90,96,95,97,78,74,72,97
2016,59,61,79,82,92,88,96,96,91,85,72,60,96
2017,66,70,70,87,92,94,94,92,91,83,74,61,94
2018,61,78,62,82,92,93,96,94,93,80,72,61,96
2019,59,65,75,80,86,91,95,90,89,93,71,58,95
2020,69,62,77,68,84,90,96,92,85,74,75,62,96
2021,51,54,82,85,89,98,92,94,85,79,69,66,98
2022,59,68,74,79,93,90,95,97,90,76,77,62,97
2023,66,70,63,91,87,91,93,88,93,83,67,62,93
2024,60,M,M,M,M,M,M,M,M,M,M,M,60
