Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual
1869,17,17,4,30,42,54,62,56,46,30,26,14,4
1870,17,10,19,33,46,56,59,58,52,33,29,10,10
1871,0,0,31,33,41,54,57,56,40,31,15,-2,-2
1872,7,10,3,29,41,52,62,53,47,36,14,4,3
1873,-1,-1,9,33,38,52,60,56,44,33,21,18,-1
1874,10,3,14,20,33,49,58,55,48,36,23,7,3
1875,-3,0,12,22,39,49,59,57,43,34,5,1,-3
1876,12,5,9,29,36,49,61,57,49,32,19,3,3
1877,11,17,10,30,37,52,58,64,48,38,24,20,10
1878,7,7,13,42,40,49,63,59,45,39,29,13,7
1879,-4,9,18,25,42,47,58,55,43,29,16,10,-4
1880,17,7,14,26,35,48,59,55,50,35,13,-6,-6
1881,1,-3,22,21,39,49,62,56,53,34,23,18,-3
1882,-6,13,18,27,38,55,58,57,48,42,20,10,-6
1883,1,13,8,25,42,56,58,55,43,35,21,-1,-1
1884,4,4,5,32,42,49,61,57,52,33,24,-3,-3
1885,5,-2,7,27,42,51,59,50,44,35,25,15,-2
1886,2,-4,8,30,44,52,59,53,45,33,27,13,-4
1887,4,13,15,24,45,52,64,51,40,29,17,11,4
1888,0,1,6,28,40,51,54,53,40,33,17,9,0
1889,15,3,25,34,42,52,58,55,46,32,25,13,3
1890,15,16,7,29,41,54,55,52,45,37,19,13,7
1891,17,14,9,29,32,54,60,59,54,35,14,14,9
1892,9,14,17,31,42,58,57,60,49,37,25,10,9
1893,1,5,15,35,43,54,56,56,44,34,26,13,1
1894,16,1,20,25,46,48,56,53,43,39,23,8,1
1895,11,-4,15,31,39,54,57,52,47,37,26,13,-4
1896,-2,-5,14,24,45,52,60,57,46,36,29,9,-5
1897,6,19,19,24,40,49,64,61,45,39,23,13,6
1898,10,8,26,26,40,54,57,59,52,41,25,13,8
1899,7,-6,19,28,48,57,59,60,45,38,31,9,-6
1900,10,5,11,30,38,55,56,59,50,38,30,13,5
1901,8,14,12,36,44,53,61,63,47,38,19,17,8
1902,13,14,23,37,38,50,60,57,50,38,34,8,8
1903,10,4,28,29,37,52,57,54,47,36,19,11,4
1904,-4,2,15,27,46,53,59,55,41,32,23,12,-4
1905,4,6,14,33,41,52,63,60,47,39,20,20,4
1906,14,8,16,32,44,54,60,65,50,40,29,12,8
1907,4,6,18,28,40,48,64,59,49,36,33,22,4
1908,8,1,19,28,44,55,63,55,52,40,28,24,1
1909,5,8,23,24,41,55,57,57,51,37,31,6,5
1910,5,1,25,37,48,50,64,57,57,39,29,11,1
1911,18,14,13,24,37,58,60,55,46,38,25,19,13
1912,-3,-1,15,29,45,51,59,51,39,40,28,18,-3
1913,18,11,12,33,36,49,58,60,45,34,30,19,11
1914,-5,-3,15,27,40,49,56,60,42,33,22,3,-5
1915,12,13,19,29,43,47,59,55,45,37,31,13,12
1916,7,2,7,32,44,51,60,56,44,40,25,17,2
1917,8,0,20,28,38,55,59,58,43,32,19,-13,-13
1918,-4,-6,17,32,43,49,57,59,46,41,30,22,-6
1919,10,17,24,22,43,52,60,57,49,39,28,-1,-1
1920,-1,-2,13,28,39,50,55,57,45,37,25,16,-2
1921,4,10,26,29,43,53,62,55,56,35,30,7,4
1922,7,-2,17,32,44,52,60,53,44,33,28,12,-2
1923,9,7,10,12,37,53,59,51,48,39,29,23,7
1924,5,10,24,27,44,51,57,55,46,34,19,11,5
1925,-2,12,11,32,41,54,56,54,46,29,25,8,-2
1926,5,8,13,27,40,48,56,57,50,36,24,8,5
1927,-1,22,18,33,44,50,54,54,50,43,27,15,-1
1928,12,7,18,29,41,54,60,60,43,32,22,19,7
1929,8,15,12,34,42,45,55,57,44,35,12,13,8
1930,10,7,18,31,45,50,57,55,52,36,15,10,7
1931,11,12,29,35,40,55,64,61,49,42,30,20,11
1932,24,18,15,32,42,47,59,62,42,40,12,11,11
1933,13,11,16,33,46,48,54,60,52,32,17,-6,-6
1934,6,-15,13,34,46,56,62,52,51,36,26,11,-15
1935,-1,4,18,32,43,55,62,55,43,38,24,8,-1
1936,-3,1,17,30,44,54,60,59,46,28,17,13,-3
1937,25,14,19,34,45,56,58,57,45,34,28,18,14
1938,6,12,9,28,41,47,57,62,51,42,16,19,6
1939,6,14,16,30,43,56,59,62,48,35,29,13,6
1940,7,15,16,26,44,52,57,52,42,30,25,11,7
1941,10,14,15,36,39,54,62,55,46,37,31,14,10
1942,5,6,33,33,47,52,59,54,42,38,26,-4,-4
1943,10,-8,7,24,41,56,52,56,46,40,26,10,-8
1944,12,13,16,26,47,50,61,56,50,36,29,12,12
1945,2,15,26,35,41,44,58,53,44,38,25,10,2
1946,5,12,26,34,43,47,56,53,47,45,30,16,5
1947,12,7,21,33,35,52,60,60,41,36,27,17,7
1948,0,6,9,32,45,52,59,62,49,36,33,10,0
1949,20,17,18,36,45,52,62,55,48,42,23,21,17
1950,16,6,11,26,40,48,60,57,41,38,28,9,6
1951,11,11,24,37,45,51,61,56,41,42,22,8,8
1952,8,17,23,34,43,58,62,54,52,33,28,12,8
1953,21,14,18,35,44,51,57,59,49,40,30,15,14
1954,7,11,22,23,42,54,60,58,49,38,32,16,7
1955,13,0,19,33,41,51,65,61,50,41,16,5,0
1956,14,14,18,33,38,53,57,58,41,38,22,16,14
1957,0,18,24,33,39,51,58,57,41,35,28,18,0
1958,12,3,27,29,42,49,63,58,46,39,18,12,3
1959,14,7,20,34,43,53,62,61,46,36,21,9,7
1960,17,18,14,35,42,55,60,58,54,38,30,8,8
1961,5,-2,18,34,41,53,62,57,49,40,30,14,-2
1962,11,4,11,34,42,53,57,56,42,34,28,4,4
1963,4,-2,26,34,38,54,54,53,40,38,34,11,-2
1964,9,19,22,28,43,51,61,54,48,33,24,17,9
1965,9,13,21,29,46,52,58,50,44,32,31,18,9
1966,8,8,24,34,36,52,61,61,46,34,29,14,8
1967,13,4,8,29,39,48,60,58,45,35,20,20,4
1968,-1,5,15,32,42,53,60,57,53,36,32,9,-1
1969,11,17,19,29,47,55,60,58,51,31,26,14,11
1970,3,9,20,31,38,57,65,62,47,36,21,17,3
1971,4,6,26,33,45,55,64,55,49,45,26,20,4
1972,5,9,17,26,45,46,56,57,50,32,21,19,5
