Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual
1869,0.08,0.25,0.15,0.05,0.13,0.15,0.1,0.06,0.09,0.21,0.07,0.16,0.13
1870,0.14,0.1,0.11,0.17,0.06,0.09,0.12,0.1,0.08,0.16,0.08,0.07,0.11
1871,0.07,0.1,0.18,0.1,0.13,0.24,0.18,0.18,0.08,0.24,0.12,0.07,0.14
1872,0.06,0.04,0.17,0.08,0.09,0.1,0.25,0.2,0.1,0.11,0.14,0.1,0.12
1873,0.17,0.14,0.07,0.14,0.12,0.04,0.15,0.31,0.1,0.09,0.15,0.1,0.13
1874,0.17,0.07,0.07,0.29,0.07,0.09,0.16,0.08,0.27,0.05,0.08,0.09,0.12
1875,0.1,0.09,0.11,0.1,0.04,0.09,0.16,0.29,0.06,0.09,0.13,0.07,0.11
1876,0.03,0.17,0.28,0.1,0.1,0.09,0.12,0.07,0.18,0.05,0.11,0.08,0.12
1877,0.08,0.04,0.18,0.09,0.03,0.09,0.18,0.09,0.04,0.26,0.19,0.02,0.11
1878,0.14,0.13,0.11,0.07,0.1,0.1,0.15,0.26,0.14,0.08,0.16,0.17,0.13
1879,0.08,0.07,0.11,0.14,0.07,0.11,0.12,0.26,0.08,0.01,0.07,0.16,0.11
1880,0.07,0.07,0.15,0.1,0.02,0.04,0.28,0.17,0.06,0.09,0.08,0.07,0.1
1881,0.15,0.18,0.19,0.03,0.1,0.18,0.04,0.03,0.03,0.05,0.08,0.13,0.1
1882,0.16,0.12,0.08,0.05,0.14,0.08,0.1,0.04,0.56,0.05,0.04,0.06,0.12
1883,0.09,0.15,0.05,0.12,0.09,0.11,0.1,0.06,0.11,0.15,0.05,0.1,0.1
1884,0.17,0.17,0.15,0.09,0.12,0.17,0.15,0.25,0.01,0.12,0.11,0.2,0.14
1885,0.1,0.16,0.03,0.07,0.06,0.04,0.12,0.18,0.01,0.17,0.14,0.08,0.1
1886,0.13,0.17,0.09,0.13,0.17,0.11,0.09,0.03,0.04,0.1,0.15,0.09,0.11
1887,0.14,0.21,0.1,0.09,0.01,0.26,0.17,0.12,0.06,0.08,0.07,0.14,0.12
1888,0.16,0.12,0.15,0.1,0.18,0.09,0.05,0.25,0.27,0.14,0.13,0.11,0.15
1889,0.16,0.08,0.09,0.18,0.09,0.08,0.38,0.14,0.23,0.08,0.33,0.06,0.16
1890,0.07,0.12,0.18,0.06,0.11,0.16,0.14,0.14,0.15,0.21,0.02,0.12,0.12
1891,0.19,0.15,0.12,0.08,0.08,0.05,0.13,0.15,0.08,0.08,0.08,0.11,0.11
1892,0.15,0.03,0.11,0.07,0.14,0.09,0.1,0.13,0.04,0.02,0.24,0.04,0.1
1893,0.08,0.22,0.11,0.17,0.15,0.09,0.04,0.28,0.06,0.17,0.12,0.1,0.13
1894,0.06,0.14,0.04,0.07,0.12,0.03,0.07,0.04,0.29,0.17,0.14,0.15,0.11
1895,0.16,0.02,0.07,0.11,0.07,0.08,0.15,0.13,0.02,0.14,0.13,0.08,0.1
1896,0.03,0.24,0.17,0.04,0.08,0.19,0.24,0.05,0.16,0.06,0.09,0.04,0.12
1897,0.1,0.09,0.08,0.09,0.19,0.1,0.31,0.12,0.06,0.02,0.15,0.16,0.12
1898,0.14,0.15,0.09,0.11,0.22,0.04,0.14,0.11,0.06,0.2,0.22,0.1,0.13
1899,0.13,0.14,0.19,0.06,0.04,0.08,0.14,0.11,0.2,0.07,0.06,0.06,0.11
1900,0.14,0.19,0.11,0.07,0.12,0.07,0.1,0.15,0.08,0.11,0.15,0.06,0.11
1901,0.05,0.02,0.18,0.22,0.21,0.03,0.25,0.21,0.08,0.08,0.03,0.23,0.13
1902,0.07,0.19,0.16,0.1,0.04,0.22,0.18,0.14,0.14,0.23,0.04,0.22,0.14
1903,0.13,0.17,0.14,0.11,0.01,0.33,0.13,0.22,0.12,0.43,0.03,0.1,0.16
1904,0.1,0.08,0.12,0.13,0.06,0.1,0.16,0.25,0.14,0.1,0.07,0.06,0.11
1905,0.09,0.07,0.11,0.08,0.02,0.13,0.1,0.16,0.19,0.11,0.06,0.11,0.1
1906,0.09,0.09,0.16,0.2,0.18,0.04,0.15,0.05,0.08,0.14,0.04,0.12,0.11
1907,0.09,0.08,0.1,0.13,0.18,0.11,0.03,0.1,0.28,0.15,0.15,0.14,0.13
1908,0.12,0.2,0.08,0.08,0.27,0.04,0.12,0.19,0.06,0.04,0.02,0.1,0.11
1909,0.11,0.16,0.12,0.2,0.05,0.1,0.07,0.27,0.09,0.02,0.05,0.14,0.12
