Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual
1869,34.6,34.8,35.4,49.9,61,69.5,73.3,71.8,65.6,51,40.6,34.8,51.9
1870,37.8,30.9,34.6,50.4,60.9,73.8,76.9,75.1,68.1,56.5,46.3,35.1,53.9
1871,28.1,30.4,44.1,52.6,60.3,69.1,72.9,74.4,60.9,55.3,38.8,29,51.3
1872,29.1,30.3,30.9,49.7,62,71.9,77.9,76.2,66.4,53.3,41.4,26.7,51.3
1873,27.4,29.1,35.6,46.8,58.3,69.9,76,72,65.4,55.4,37.2,36.7,50.8
1874,34.4,31.4,37.1,40.9,58.3,70.5,74.2,70.1,67.3,54.8,42.8,34.4,51.4
1875,23.6,25.2,34.5,43.7,60,69.1,74.2,73.2,63.9,53.2,38.9,33.4,49.4
1876,36.3,32.2,34.6,47.3,59.8,73.7,79.2,75.2,63.8,51.2,45.1,25,52
1877,27.7,37.1,36.1,47.9,59.5,70.1,75.2,75.5,67.4,55.8,44.2,37.4,52.8
1878,29.9,32.3,44.2,53.7,59.3,67.6,77.8,74.3,68.2,58.7,44.1,33.2,53.6
1879,25.9,27.9,39.8,49.1,62.9,69.8,75,72,63.1,60.4,42.9,36.8,52.1
1880,39.2,36.5,36.5,49.6,67.5,72.2,74.7,72.5,67.2,53.4,38.9,26.4,52.9
1881,24.6,28.5,36.9,46.7,62.1,65,73.7,73.6,73.3,58.5,44.2,39,52.2
1882,28.3,34.7,40.1,47.4,56.1,71.5,75.5,73.2,67.1,57.1,39,30.6,51.7
1883,24.4,30.2,32.5,47.3,60.9,73.4,74.3,69.9,61.8,51.9,43.8,31.6,50.2
1884,24.5,33.8,37,48,60.2,70.4,72.1,73.7,71.8,57.5,44.1,33.6,52.2
1885,29.1,22.6,30.1,48.9,59.2,69.5,78,71.9,63.9,53.8,44.5,35.3,50.6
1886,26,28.3,37.8,53.5,60.4,68.6,75.3,70.1,65.8,55.1,44.4,29.7,51.3
1887,28.3,31.9,32.1,46.3,64.4,70.1,79.1,70.3,61.8,52.4,41.2,33.4,50.9
1888,23.2,29.2,29.9,46,58.2,71.5,70.9,72.8,63,48.5,45.2,34.7,49.4
1889,35.7,28.1,40,51,63.8,70.7,73.9,70.9,65.3,49.6,44.7,39.7,52.8
1890,37.6,38,35.6,49.7,60.8,70.9,73.4,73.1,67.4,54.9,44.2,30,53
1891,34.1,36.4,36.3,50,58.2,72.1,73,76.1,72.1,54.9,43.9,42.5,54.1
1892,31.7,33.5,34.5,49,59.7,74.1,75.6,74.9,64.9,53.3,43.3,32.2,52.2
1893,23.8,29.7,35.4,47.1,58.3,68.7,74.2,74,63.5,56.1,42.8,34.9,50.7
1894,33.7,28.3,43,49.4,61.4,70.8,75.5,71,69,55.4,41.3,36.7,53
1895,29.6,24.3,35.9,50.1,63.3,73.8,73.1,76.1,71.5,52.4,47.9,38.4,53
1896,30,31.6,32.7,52.8,67.2,70.3,77.1,76.5,67.4,53.7,49.7,34.4,53.6
1897,30.8,33.2,40.9,50.6,61.5,67.5,77,73.4,67.1,56.8,45.7,38.6,53.6
1898,35.4,36.2,46.1,48,59.1,71.8,76.9,75.9,70.9,59.5,45.9,35,55.1
1899,31.3,28.1,38.3,49.7,62.8,74.7,77,76,66.1,59,46.4,38.1,54
1900,32.2,30.5,33.5,50.4,59.9,71.3,77.6,77.2,71,61.5,49,36.2,54.2
1901,32.6,26.4,38.4,48.3,57.9,71.4,78.7,75.5,68.4,56.1,39.7,35.8,52.4
1902,30.5,29.6,44.5,50.9,59.4,67,73.4,72.4,66.5,58,51.4,32.4,53
1903,30.5,33.5,48.2,52.4,63.8,64.5,75.2,69.4,67.1,58.2,42.1,31.5,53
1904,25.3,25.1,36.2,46.8,64.3,70.7,75.2,73.1,67.1,54,42.4,30.2,50.9
1905,29.3,24.8,40.4,50.2,61.5,70.2,77.7,75,69.8,59.4,43.9,38.8,53.4
1906,38.4,32.8,35.8,52.3,63.3,74.1,78,77.6,70.3,57.5,45.9,34.2,55
1907,34.9,25.8,42.6,46.9,56.7,68.9,77.5,73.9,69.8,52.6,46.1,38.7,52.9
1908,33,27.4,41.1,52.5,63.9,73,80,75.9,68.9,60.7,46.4,37.5,55
1909,34.5,38.1,38.2,48.6,61.2,72.3,73.9,72.6,67.4,54.9,49.7,32.5,53.7
1910,31.5,29.7,43.6,55.5,61.7,69,77.5,72.4,69.7,59.5,42.6,29.7,53.5
1911,36.3,31.2,34.8,47.9,64.5,70.1,77.8,73.3,67.8,56,42.3,39.5,53.5
1912,23.7,28.8,37.5,50.4,62.2,69.7,75.6,71.6,66.6,59.2,47.8,39.3,52.7
1913,40.8,31.3,44.8,52.4,60.6,70.5,76.1,73.3,64.6,58.6,47.3,38.7,54.9
1914,31.5,25.4,36.5,47.9,64.5,68.8,72,74.6,66.7,59.4,44.4,31.6,51.9
1915,34.5,35.9,36.7,54.4,59,68,73.9,71.6,70,57.6,46.3,33.4,53.4
1916,36,27.8,32.4,48.4,61.4,65.7,75.4,74.8,67.4,57.7,45.4,34,52.2
1917,32.8,28.3,39.2,48.4,54.3,70.3,75.9,76.1,63.6,53,41.6,25,50.7
1918,21.7,30.4,42.1,50.7,65.3,67.8,74.6,76.5,63.8,59,46.5,39.4,53.2
1919,35.6,34.9,43.2,50,62,70.9,75.1,71.1,67.6,59.2,45.2,30.2,53.8
1920,23.4,28.5,39.9,48.1,58.7,69.2,73.8,74.2,68.5,61.1,44.3,37.2,52.2
1921,33.4,33.9,48.4,56.1,61.2,71.1,77.3,71.6,72.1,56.3,44.7,32.5,54.9
1922,28.2,33.6,41,51.5,64.6,71.8,73.7,72.3,68.2,58.1,45.7,33.5,53.5
1923,29.9,26.3,36.8,50.3,60,73.4,73.7,72.5,68.3,56,45.2,42,52.9
1924,32.6,28.8,39.1,49.1,57.3,67.8,74.1,74.2,64.1,57,44.4,34,51.9
1925,28.4,37.8,44.2,51.8,59.5,74.3,73.5,73.3,68.8,50.6,43.9,34.8,53.4
1926,32,29.2,35.7,47.3,60.1,66.8,75,73.9,65.7,55.1,44.9,28.9,51.2
1927,30.9,36.4,43,48.6,59,67.3,74,68.5,67.9,59.5,49.2,36.7,53.4
1928,34,33,38.8,48.3,59.3,67.4,75.9,75.4,64.7,58.8,47.4,39.3,53.5
1929,31.9,32.9,45.1,50.9,61.7,71.4,75.9,73.1,69.4,54.6,46.2,35.8,54.1
1930,33.3,37,40.2,48.4,63.9,73.5,76.4,73.5,72,55.5,45.4,34.6,54.5
1931,32.7,33.8,40.3,51.1,61.5,70.7,77.5,75.2,72.3,61.2,51.9,40.9,55.8
1932,43.2,36.1,37.3,49,62,70.5,76.1,76.6,69.4,58.4,44,39.1,55.1
1933,40.3,34.1,38.3,50.4,64.4,72.4,75.8,74.8,69.5,56.1,41.8,32.7,54.2
1934,34.6,19.9,37.3,50.3,63.7,73.8,77.7,72,69.2,54.5,48.9,33.4,52.9
1935,28.8,31.2,43.4,49.6,59.9,70,77.2,74.6,65.3,57.4,48.6,30,53
1936,29.3,25.7,45.2,47.8,64.3,69.8,76.2,75.4,68.1,57.4,42.7,38.6,53.4
1937,40.2,34.8,36.5,49.6,64.2,71.8,76.5,76.6,66,55.1,46.4,35.4,54.4
1938,32.1,35.4,44.1,53.6,60.8,70.3,76.5,78.1,66,59.8,48.3,37,55.2
1939,32.1,37,39.2,48.2,64.9,72.9,76.6,78,68.6,57.3,43.7,36.9,54.6
1940,25,32.9,35.1,46.8,60.7,70.4,76.2,71.3,66.6,53.7,45.3,38.4,51.9
1941,29.4,31.1,35.9,56.8,64.7,71.9,75.8,74,70,60.7,50,38.3,54.9
1942,30.7,29.6,43,53.8,65.3,71,76.3,73.6,68.3,58.8,47,31.1,54
1943,30.7,34.6,40.2,46.1,62.5,76.2,76.9,75.9,67.3,55.8,45.3,33,53.7
1944,33.9,33.2,37.6,48.9,67,72.3,79.4,77.8,70,57,46,32.3,54.6
1945,25.2,33.9,51.1,55.6,59.2,70.9,74.5,73.4,70.3,56.2,47.6,31,54.1
1946,34.1,31.7,49.8,50.4,61.9,69.7,75.4,70.9,69.8,61.7,50.4,38.1,55.3
1947,37.1,29.3,37.8,50.4,59.9,68.4,75.5,75.9,68.6,63.6,44.2,34,53.7
1948,25.4,30.7,42,51,60.2,69.4,77.1,75.2,70.2,56.6,52.4,38.3,54
1949,38.6,38.6,42.8,53.8,63.1,74.2,79.6,76.7,66.2,63.1,46.3,39.4,56.9
1950,41.8,31.6,36.3,48.4,58.7,70.3,75,73.1,64.6,60,48.4,34.9,53.6
