Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual
1888,M,M,10,M,M,M,M,M,M,M,M,M,10
1889,M,M,M,M,M,M,M,M,M,M,M,M,M
1890,M,M,M,M,M,M,M,M,M,M,M,M,M
1891,M,M,M,M,M,M,M,M,M,M,M,M,M
1892,M,M,M,M,M,M,M,M,M,M,M,M,M
1893,M,M,M,M,M,M,M,M,M,M,M,M,M
1894,M,M,M,M,M,M,M,M,M,M,M,M,M
1895,M,M,M,M,M,M,M,M,M,M,M,M,M
1896,M,M,M,M,M,M,M,M,M,M,M,M,M
1897,M,M,M,M,M,M,M,M,M,M,M,M,M
1898,M,M,M,M,M,M,M,M,M,M,M,M,M
1899,M,M,M,M,M,M,M,M,M,M,M,M,M
1900,M,M,M,M,M,M,M,M,M,M,M,M,M
1901,M,M,M,M,M,M,M,M,M,M,M,M,M
1902,M,M,M,M,M,M,M,M,M,M,M,M,M
1903,M,M,M,M,M,M,M,M,M,M,M,M,M
1904,M,M,M,M,M,M,M,M,M,M,M,M,M
1905,M,M,M,M,M,M,M,M,M,M,M,M,M
1906,M,M,M,M,M,M,M,M,M,M,M,M,M
1907,M,M,M,M,M,M,M,M,M,M,M,M,M
1908,M,M,M,M,M,M,M,M,M,M,M,M,M
1909,M,M,M,M,M,M,M,M,M,M,M,M,M
1910,M,M,M,M,M,M,M,M,M,M,M,M,M
1911,M,M,M,M,M,M,M,M,M,M,M,M,M
1912,4,2,1,0,0,0,0,0,0,0,T,12,12
1913,T,2,0,0,0,0,0,0,0,0,0,T,2
1914,T,12,13,0,0,0,0,0,0,0,0,1,13
1915,1,4,6,9,0,0,0,0,0,0,0,5,9
1916,T,5,11,1,0,0,0,0,0,0,T,12,12
1917,1,4,7,1,0,0,0,0,0,0,T,8,8
1918,6,6,T,2,0,0,0,0,0,0,0,0,6
1919,T,T,1,0,0,0,0,0,0,0,0,2,2
1920,4,12,4,T,0,0,0,0,0,0,0,1,12
1921,2,12,0,0,0,0,0,0,0,0,0,3,12
1922,5,5,2,0,0,0,0,0,0,0,1,3,5
1923,8,6,6,0,0,0,0,0,0,0,0,T,8
1924,0,3,1,7,0,0,0,0,0,0,0,T,7
1925,11,8,T,0,0,0,0,0,0,1,T,T,11
1926,2,20,T,0,0,0,0,0,0,0,0,8,20
1927,4,3,T,0,0,0,0,0,0,0,0,2,4
1928,2,3,4,0,0,0,0,0,0,0,0,2,4
1929,T,8,T,0,0,0,0,0,0,0,0,4,8
1930,1,3,T,0,0,0,0,0,0,0,0,3,3
1931,T,2,T,0,0,0,0,0,0,0,1,0,2
1932,T,0,T,0,0,0,0,0,0,0,0,6,6
1933,0,8,2,T,0,0,0,0,0,0,0,11,11
1934,T,13,10,0,0,0,0,0,0,0,T,0,13
1935,17,7,2,T,0,0,0,0,0,0,1,4,17
1936,9,6,T,T,0,0,0,0,0,0,T,T,9
1937,5,2,1,0,0,0,0,0,0,0,T,0,5
1938,3,0,T,4,0,0,0,0,0,0,9,3,9
1939,8,1,4,0,0,0,0,0,0,0,0,3,8
1940,2,9,2,T,0,0,0,0,0,0,1,3,9
1941,5,4,13,0,0,0,0,0,0,0,0,0,13
1942,2,T,T,2,0,0,0,0,0,0,0,3,3
1943,8,4,2,0,0,0,0,0,0,0,T,T,8
