Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual
1869,9,6,0.8,0,0,0,0,0,0,0,0,5,9
1870,1,8,6,2.5,0,0,0,0,0,0,0,0,8
1871,9,7,0.1,2,0,0,0,0,0,0,0.3,3,9
1872,1.3,3,2,T,0,0,0,0,0,0,2.5,18,18
1873,6,5.8,0.3,0,0,0,0,0,0,0,2,4,6
1874,6.5,7.5,0.3,T,0,0,0,0,0,0,T,10,10
1875,5,3,4,8.7,0,0,0,0,0,0,0,0.5,8.7
1876,1,11,2.3,0,0,0,0,0,0,0.5,0.1,3,11
1877,8.2,0.3,3.5,0,0,0,0,0,0,0,T,0,8.2
1878,5,2,0,0,0,0,0,0,0,0,0.1,3,5
1879,13,3,1,0,0,0,0,0,0,0,2.5,3,13
1880,2.5,4,4,0,0,0,0,0,0,0,1.3,4,4
1881,6.5,4,1.5,0,0,0,0,0,0,0,T,1.3,6.5
1882,8,8,2,0.5,0,0,0,0,0,0,4.5,0,8
1883,5,7,4.5,0.5,0,0,0,0,0,0,0,7.3,7.3
1884,3.5,5,1.5,0,0,0,0,0,0,0,0.3,4,5
1885,2.5,6.5,3,T,0,0,0,0,0,0,T,T,6.5
1886,5,3.5,1,0.7,0,0,0,0,0,0,T,5.3,5.3
1887,4,5,1.5,3,0,0,0,0,0,0,0.1,4.5,5
1888,3.5,2,16.5,0,0,0,0,0,0,0,1.5,T,16.5
1889,4,2,3,0,0,0,0,0,0,0,0,5.5,5.5
1890,0,1,6,0.3,0,0,0,0,0,0,0,7,7
1891,8,3,0,0,0,0,0,0,0,0,T,0,8
1892,6,0.1,2,0,0,0,0,0,0,0,2.3,1.5,6
1893,5,3.5,6,0.5,0,0,0,0,0,0,0,1.5,6
1894,1,1,T,1,0,0,0,0,0,0,0.5,0,1
1895,1,4,1,T,0,0,0,0,0,0,T,T,4
1896,2,1.5,10,2.5,0,0,0,0,0,0,2.5,0,10
1897,7.5,8.5,2.8,0,0,0,0,0,0,0,2.3,3,8.5
1898,5,1,1,2.5,0,0,0,0,0,0,5,1,5
1899,3,1,3,0,0,0,0,0,0,0,T,0.1,3
1900,0.5,5.8,5,T,0,0,0,0,0,0,0,0.1,5.8
1901,0.1,1.5,T,0,0,0,0,0,0,0,0,1,1.5
1902,1.5,10,6.5,0,0,0,0,0,0,0,0,6.5,10
1903,4,0.3,0,T,0,0,0,0,0,T,0,3,4
1904,7.5,3,2,T,0,0,0,0,0,0,0.5,4,7.5
1905,10,3,1.8,T,0,0,0,0,0,0,0,0.5,10
1906,1.5,T,6,T,0,0,0,0,0,0,1,0.3,6
1907,6,6,6,5,0,0,0,0,0,0,T,2.5,6
1908,T,4.3,3,0,0,0,0,0,0,0,0.5,0.8,4.3
1909,4.3,0.8,4,T,0,0,0,0,0,0,0.5,7,7
1910,9.5,T,1.3,0,0,0,0,0,0,0,T,2,9.5
1911,1,4.5,2.8,0.5,0,0,0,0,0,0,1,7,7
1912,3.5,2.5,1.5,T,0,0,0,0,0,0,0.8,11.4,11.4
1913,0.2,1.6,0.2,T,0,0,0,0,0,0,T,0.3,1.6
1914,1.1,8.1,13.5,T,0,0,0,0,0,0,0,0.6,13.5
1915,1.6,2.4,6.9,10,0,0,0,0,0,0,T,5,10
1916,0.4,4.6,7.6,1.8,0,0,0,0,0,0,T,12.7,12.7
1917,1.8,4.3,6,6.4,0,0,0,0,0,0,0.3,8,8
1918,5.9,2.4,0.4,2,0,0,0,0,0,0,0,0.3,5.9
1919,0.3,0.3,1.4,T,0,0,0,0,0,0,T,2.7,2.7
1920,2.8,5.9,2,T,0,0,0,0,0,0,T,0.9,5.9
1921,1.8,12.5,T,0.1,0,0,0,0,0,0,T,3,12.5
1922,3.4,5.4,2.1,0,0,0,0,0,0,0,1,3.2,5.4
1923,7.8,6,5.4,T,0,0,0,0,0,0,0,1.2,7.8
1924,2.4,3.6,1.2,8.5,0,0,0,0,0,0,T,0.4,8.5
1925,11.5,1.3,T,T,0,0,0,0,0,0.8,0.1,0.7,11.5
1926,2.3,10.4,0.6,T,0,0,0,0,0,T,T,7.9,10.4
1927,5.1,3,0.2,0.1,0,0,0,0,0,0,T,2.1,5.1
1928,1.8,3.5,5.3,T,0,0,0,0,0,T,T,2,5.3
1929,0.6,8,0.2,T,0,0,0,0,0,T,T,3.9,8
1930,1.8,2.9,T,T,0,0,0,0,0,0,T,2,2.9
1931,0.3,2.8,1.5,T,0,0,0,0,0,0,2,0.1,2.8
1932,0.6,1.1,0.4,T,0,0,0,0,0,0,0,6.7,6.7
1933,T,10,2.6,T,0,0,0,0,0,0,0.3,11.2,11.2
1934,0.1,9.8,4.5,0,0,0,0,0,0,T,T,1,9.8
1935,12.8,2.3,1.3,T,0,0,0,0,0,0,2.5,2.1,12.8
1936,9,2.8,0.5,T,0,0,0,0,0,T,3.2,T,9
1937,5.7,2.3,1.3,T,0,0,0,T,0,T,0.8,0.4,5.7
1938,2.1,T,0.5,3.3,0,0,0,0,0,0,4.9,0.9,4.9
1939,7.8,4.4,2.7,T,0,0,0,0,0,0,T,2.9,7.8
1940,1.5,7.7,3.2,1.3,0,0,0,0,0,T,1.7,3,7.7
1941,5,3.9,15.7,0,0,0,0,0,0,0,0,0.3,15.7
1942,2.8,0.9,0.3,2.1,0,0,0,0,0,0,T,4.1,4.1
1943,7.1,3.4,2.8,T,0,0,0,0,0,0,T,T,7.1
1944,3.2,6.2,2.8,6.5,0,0,0,0,0,T,T,3.5,6.5
1945,6.7,2.8,T,0,0,0,0,0,0,0,2.5,8,8
1946,1.8,5.5,T,T,T,0,0,0,0,0,0,1.3,5.5
1947,4,6.5,3,T,0,0,0,0,0,0,T,26.1,26.1
1948,3.2,5.7,2.8,0,0,0,0,0,0,0,T,15.8,15.8
1949,1.5,9,3.8,0,0,0,0,0,0,0,0.5,1.1,9
1950,0.4,3.5,1.4,1.9,0,0,0,0,0,0,T,2.9,3.5
1951,0.9,1,1.3,0,0,0,T,0,0,0,T,2.5,2.5
1952,5.5,2,4,0,0,0,0,0,0,0.5,1.7,3,5.5
1953,2,0.3,0.6,T,0,0,0,0,0,0,2.2,T,2.2
1954,5.4,0.5,0.1,0.3,0,0,0,0,0,0,T,0.1,5.4
1955,0.9,3.6,2.7,0,0,0,0,0,0,0,1,2.7,3.6
1956,0.5,1.4,7.8,4.2,T,0,0,0,0,0,T,0.5,7.8
1957,2.9,6.3,2.5,2.5,0,0,0,0,0,0,T,7.5,7.5
1958,4.5,5.9,7.1,0.2,0,0,0,0,0,0,T,1.9,7.1
1959,0.9,0.4,5.5,0.6,0,0,0,0,0,0,0.5,10.3,10.3
1960,1.8,0.8,12.5,0,0,0,0,0,0,T,0,11.6,12.5
1961,5.5,11.4,0.6,T,0,0,0,0,0,0,T,3.4,11.4
1962,0.4,2.9,0.2,T,0,0,0,0,0,T,T,1.6,2.9
1963,3,2.5,2,T,0,0,0,0,0,0,T,6,6
1964,11.5,6,3.6,T,0,0,0,0,0,0,0,2.7,11.5
1965,6.3,1,1.7,1.2,0,0,0,0,0,T,0,T,6.3
1966,5.8,4.5,T,0,0,0,0,0,0,0,0,6.7,6.7
1967,0.5,12.5,9,T,0,0,0,0,0,0,3.2,3,12.5
1968,1.5,1.1,5.5,0,0,0,0,0,0,0,T,5.2,5.5
1969,1,14,2.8,0,0,0,0,0,0,0,T,4.2,14
1970,2.6,2.3,4,T,0,0,0,0,0,0,0,1.8,4
1971,6.4,T,1.3,0.4,0,0,0,0,0,0,T,T,6.4
1972,1.8,5.7,1.3,T,0,0,0,0,0,T,T,T,5.7
1973,1.8,0.8,0.2,T,0,0,0,0,0,0,0,1.7,1.8
1974,4.3,6,3.2,0.3,0,0,0,0,0,0,0.1,0.1,6
1975,1.3,7.8,0.3,T,0,0,0,0,0,0,T,1.8,7.8
1976,1.9,2,4,T,0,0,0,0,0,0,T,2.7,4
1977,5,2.8,0.6,T,T,0,0,0,0,0,0.2,0.4,5
1978,11.1,15.5,5,T,0,0,0,0,0,0,2.2,0.5,15.5
1979,3.1,12.7,T,T,0,0,0,0,0,T,0,3.5,12.7
1980,2,1.6,3.6,T,0,0,0,0,0,0,T,1.1,3.6
1981,4.1,T,8.6,0,0,0,0,0,0,0,0,1.4,8.6
1982,5.8,0.3,0.7,9.6,0,0,0,0,0,0,0,3,9.6
1983,1,12.5,T,0.8,0,0,0,0,0,0,T,0.8,12.5
1984,4.2,0.2,5.1,0,0,0,0,0,0,0,T,4.8,5.1
