Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual
1888,M,M,10,M,M,M,M,M,M,M,M,M,10
1889,M,M,M,M,M,M,M,M,M,M,M,M,M
1890,M,M,M,M,M,M,M,M,M,M,M,M,M
1891,M,M,M,M,M,M,M,M,M,M,M,M,M
1892,M,M,M,M,M,M,M,M,M,M,M,M,M
1893,M,M,M,M,M,M,M,M,M,M,M,M,M
1894,M,M,M,M,M,M,M,M,M,M,M,M,M
1895,M,M,M,M,M,M,M,M,M,M,M,M,M
1896,M,M,M,M,M,M,M,M,M,M,M,M,M
1897,M,M,M,M,M,M,M,M,M,M,M,M,M
1898,M,M,M,M,M,M,M,M,M,M,M,M,M
1899,M,M,M,M,M,M,M,M,M,M,M,M,M
1900,M,M,M,M,M,M,M,M,M,M,M,M,M
1901,M,M,M,M,M,M,M,M,M,M,M,M,M
1902,M,M,M,M,M,M,M,M,M,M,M,M,M
1903,M,M,M,M,M,M,M,M,M,M,M,M,M
1904,M,M,M,M,M,M,M,M,M,M,M,M,M
1905,M,M,M,M,M,M,M,M,M,M,M,M,M
1906,M,M,M,M,M,M,M,M,M,M,M,M,M
1907,M,M,M,M,M,M,M,M,M,M,M,M,M
1908,M,M,M,M,M,M,M,M,M,M,M,M,M
1909,M,M,M,M,M,M,M,M,M,M,M,M,M
1910,M,M,M,M,M,M,M,M,M,M,M,M,M
1911,M,M,M,M,M,M,M,M,M,M,M,M,M
1912,27,7,4,0,0,0,0,0,0,0,0,35,73
1913,0,4,0,0,0,0,0,0,0,0,0,0,4
1914,0,109,87,0,0,0,0,0,0,0,0,2,198
1915,1,10,15,15,0,0,0,0,0,0,0,16,57
1916,0,48,94,2,0,0,0,0,0,0,0,41,185
1917,5,11,34,1,0,0,0,0,0,0,0,96,147
1918,81,42,0,3,0,0,0,0,0,0,0,0,126
1919,0,0,1,0,0,0,0,0,0,0,0,18,19
1920,54,175,23,0,0,0,0,0,0,0,0,3,255
1921,2,66,0,0,0,0,0,0,0,0,0,6,74
1922,25,22,3,0,0,0,0,0,0,0,1,10,61
1923,86,61,23,0,0,0,0,0,0,0,0,0,170
1924,0,24,1,11,0,0,0,0,0,0,0,0,36
1925,239,48,0,0,0,0,0,0,0,1,0,0,288
1926,9,185,0,0,0,0,0,0,0,0,0,47,241
1927,15,10,0,0,0,0,0,0,0,0,0,5,30
1928,6,7,10,0,0,0,0,0,0,0,0,4,27
1929,0,19,0,0,0,0,0,0,0,0,0,16,35
1930,2,6,0,0,0,0,0,0,0,0,0,9,17
1931,0,7,0,0,0,0,0,0,0,0,1,0,8
1932,0,0,0,0,0,0,0,0,0,0,0,29,29
1933,0,40,2,0,0,0,0,0,0,0,0,62,104
1934,0,143,40,0,0,0,0,0,0,0,0,0,183
1935,113,62,3,0,0,0,0,0,0,0,1,9,188
1936,70,86,0,0,0,0,0,0,0,0,0,0,156
1937,7,4,1,0,0,0,0,0,0,0,0,0,12
1938,17,0,0,7,0,0,0,0,0,0,43,7,74
1939,56,1,10,0,0,0,0,0,0,0,0,5,72
1940,16,40,2,0,0,0,0,0,0,0,2,5,65
1941,27,12,42,0,0,0,0,0,0,0,0,0,81
1942,21,0,0,2,0,0,0,0,0,0,0,18,41
1943,28,27,5,0,0,0,0,0,0,0,0,0,60
