Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual
1869,15.1,9.6,0.8,0,0,0,0,0,0,0,0,5.3,30.8
1870,1.1,9.3,9.6,2.5,0,0,0,0,0,0,0,0,22.5
1871,15.9,12.1,0.1,2,0,0,0,0,0,0,0.3,3.9,34.3
1872,1.9,3,3,T,0,0,0,0,0,0,3.5,26.8,38.2
1873,10.6,18.9,0.4,0,0,0,0,0,0,0,2,9.3,41.2
1874,6.6,19,0.3,T,0,0,0,0,0,0,T,10.1,36
1875,14.5,4.5,13.8,13.5,0,0,0,0,0,0,0,1,47.3
1876,1.5,12.5,3.8,0,0,0,0,0,0,0.5,0.1,12.3,30.7
1877,20.5,0.4,6.5,0,0,0,0,0,0,0,T,0,27.4
1878,6.1,2,0,0,0,0,0,0,0,0,0.1,5.5,13.7
1879,17.3,11.4,1.5,0,0,0,0,0,0,0,2.5,5.4,38.1
1880,2.5,4,8.3,0,0,0,0,0,0,0,1.4,11.5,27.7
1881,11.5,8.9,2.3,0,0,0,0,0,0,0,T,1.3,24
1882,17.5,9.3,2.8,0.5,0,0,0,0,0,0,14,0,44.1
1883,9.4,10.2,10,0.5,0,0,0,0,0,0,0,22.6,52.7
1884,10.3,8,2.2,0,0,0,0,0,0,0,0.4,10.7,31.6
1885,4.6,14.6,4.1,T,0,0,0,0,0,0,T,T,23.3
1886,13.5,5.3,1,1,0,0,0,0,0,0,T,10.3,31.1
1887,6.6,8,2,5,0,0,0,0,0,0,0.2,9,30.8
1888,11.1,3,22.2,0,0,0,0,0,0,0,1.5,T,37.8
1889,4,7,4,0,0,0,0,0,0,0,0,6,21
1890,0,1,17.1,0.3,0,0,0,0,0,0,0,11.4,29.8
1891,10,5.3,2.1,0,0,0,0,0,0,0,T,0,17.4
1892,12.2,0.1,12,1,0,0,0,0,0,0,6.3,3,34.6
1893,16,17.5,6.1,0.5,0,0,0,0,0,0,0,8.3,48.4
1894,9.4,20.5,T,1,0,0,0,0,0,0,0.5,4,35.4
1895,9.5,9,4,T,0,0,0,0,0,0,T,T,22.5
1896,3,9.5,30.5,3,0,0,0,0,0,0,5,13,64
1897,11.3,11,5.3,0,0,0,0,0,0,0,2.3,4.1,34
1898,9,1.3,2,2.5,0,0,0,0,0,0,19,1.5,35.3
1899,5.3,25.3,4.8,0,0,0,0,0,0,0,T,0.1,35.5
1900,1,6.6,5.9,T,0,0,0,0,0,0,0,0.1,13.6
1901,2,3,T,0,0,0,0,0,0,0,0,1.5,6.5
1902,1.6,15.8,6.5,0,0,0,0,0,0,0,0,14.4,38.3
1903,4.5,9.8,0,T,0,0,0,0,0,T,0,6.4,20.7
1904,15.6,5,5.4,T,0,0,0,0,0,0,0.5,21.7,48.2
1905,18.4,5.8,1.8,T,0,0,0,0,0,0,0,1,27
1906,1.5,6,11.5,T,0,0,0,0,0,0,1,0.3,20.3
1907,11,21.8,13.3,5.8,0,0,0,0,0,0,T,5.3,57.2
1908,10,14.4,3.5,0,0,0,0,0,0,0,1,2.9,31.8
1909,11.4,0.8,4.3,T,0,0,0,0,0,0,0.8,9,26.3
1910,11.1,5,1.3,0,0,0,0,0,0,0,T,2.6,20
1911,1.3,13.3,3.6,0.5,0,0,0,0,0,0,1,8.5,28.2
1912,13,2.5,4.5,T,0,0,0,0,0,0,0.8,11.4,32.2
1913,0.3,2.6,0.2,T,0,0,0,0,0,0,T,0.3,3.4
1914,1.3,17.4,21.5,T,0,0,0,0,0,0,0,2.6,42.8
1915,3.8,4.5,7.7,10.2,0,0,0,0,0,0,T,8.1,34.3
1916,0.7,13.1,25.5,3.3,0,0,0,0,0,0,T,14.5,57.1
1917,5.8,12.2,11.7,6.5,0,0,0,0,0,0,0.3,14.1,50.6
1918,13.2,3.7,0.6,2.6,0,0,0,0,0,0,0,0.3,20.4
1919,0.3,0.5,2.7,T,0,0,0,0,0,0,T,8.8,12.3
1920,8.2,25.3,5.3,T,0,0,0,0,0,0,T,1.7,40.5
