Route,P13,P12,P11,P10,P9,P8,P7
13,2.11,2.75,2.6,2.28,2.65,1.94,1.5
16,1.94,1.8,1.79,1.74,1.58,1.33,1.16
27,2.55,2.31,2.38,1.94,1.7,1.86,1.64
39A,1.28,1.26,1.17,1.38,0.96,0.91,0.81
40,2.55,2.5,2.58,2.5,2.5,2.63,1.8
46A,1.67,1.8,1.65,2.1,1.58,1.62,1.36
123,2.13,2.06,2.35,2.43,2.12,1.29,1
14,1.18,1.35,1.38,1.22,1.32,1.05,0.96
145,1.3,1.56,1.36,1.81,1.28,1.37,1.06
15,1.08,1.07,1.1,1.02,1.13,1.06,0.94
9,1.74,1.19,1.06,1.12,0.87,0.82,0.67
1,0.4,1.67,0.99,1.15,1.1,1.03,0.77
130,1.48,1.29,2.23,1.62,1.15,1.05,1.71
140,1.43,1.16,1.11,0.99,0.92,0.86,0.94
4,1.28,1.23,1.18,1.54,1.26,1.63,1.38
