Route,P13,P12,P11,P10,P9,P8,P7
7,57.30%,62.90%,65.70%,66.30%,65.90%,67.80%,68.60%
7A,54.80%,61.90%,63.30%,65.30%,63.40%,66.10%,68.40%
7B,52.10%,62.10%,59.20%,63.10%,66.70%,64.60%,68.30%
11,57.40%,60.10%,63.90%,60.90%,66.40%,70.30%,71.80%
15B,63.00%,69.40%,71.60%,72.10%,73.10%,76.10%,76.00%
15D,40.30%,71.10%,53.50%,64.80%,64.30%,75.60%,60.50%
16C,,,,,,,
33,58.30%,63.60%,62.90%,65.10%,65.60%,69.70%,71.10%
38,59.10%,64.60%,65.60%,66.30%,68.30%,70.70%,70.80%
38A,62.20%,67.20%,68.50%,71.00%,69.50%,69.80%,71.70%
38B,59.70%,71.10%,66.60%,68.30%,75.80%,79.60%,81.40%
38D,57.50%,74.90%,70.10%,77.90%,77.90%,75.30%,75.20%
39,56.00%,64.00%,64.40%,66.00%,67.90%,71.30%,70.10%
41C,62.90%,66.80%,67.50%,66.90%,69.30%,72.80%,74.40%
44,54.90%,61.00%,59.70%,61.50%,61.40%,66.90%,63.30%
46E,54.00%,75.10%,63.40%,69.70%,77.40%,78.20%,81.80%
47,61.80%,69.40%,71.20%,72.00%,75.30%,76.60%,76.40%
49,61.90%,66.20%,65.60%,65.20%,68.40%,73.70%,73.30%
65,59.40%,65.80%,64.20%,70.70%,68.40%,72.70%,72.60%
65B,62.20%,67.10%,65.50%,66.10%,70.00%,74.00%,71.50%
66,,63.30%,61.40%,62.70%,66.90%,70.20%,71.40%
66E,,62.70%,58.00%,63.90%,73.00%,76.40%,67.40%
67,,61.30%,61.90%,66.90%,67.20%,73.80%,72.60%
70,55.80%,66.40%,67.90%,71.30%,73.20%,77.20%,77.10%
77A,54.10%,60.40%,55.00%,61.40%,63.40%,68.00%,67.30%
83,56.60%,62.50%,63.50%,64.70%,64.20%,68.70%,69.40%
83A,57.20%,62.10%,64.40%,64.60%,63.40%,65.90%,67.50%
116,44.20%,66.40%,62.30%,56.70%,76.20%,67.10%,83.30%
155,57.30%,65.50%,65.00%,63.40%,63.90%,65.40%,70.60%
16D,59.60%,68.60%,63.50%,67.80%,67.20%,69.90%,72.90%
7D,59.60%,78.90%,76.10%,69.70%,76.00%,79.50%,82.90%
15A,62.20%,71.10%,73.40%,75.00%,75.60%,78.10%,79.30%
25,,75.40%,75.10%,78.70%,75.70%,82.30%,83.60%
25A,,70.20%,69.30%,71.50%,74.10%,78.40%,81.10%
25B,,67.80%,65.70%,66.70%,70.90%,76.50%,77.50%
27B,72.10%,73.80%,77.00%,76.70%,80.20%,82.10%,83.20%
31,,,,,,,79.40%
31A,,,,,,,76.90%
31B,,,,,,,88.40%
32,,,,,,,68.10%
37,57.10%,65.20%,64.20%,67.70%,72.20%,75.60%,74.10%
41,66.50%,68.80%,70.30%,70.20%,69.90%,70.20%,78.60%
41B,71.70%,72.90%,77.10%,76.00%,74.60%,76.10%,79.40%
41D,73.50%,74.60%,75.30%,82.90%,82.80%,75.20%,82.40%
42,67.70%,65.00%,68.70%,71.90%,68.00%,73.10%,72.80%
43,67.20%,66.00%,70.80%,75.70%,74.60%,79.80%,79.40%
54A,56.60%,64.90%,64.30%,67.40%,69.00%,71.60%,76.20%
56A,64.20%,68.60%,67.30%,71.90%,71.40%,75.20%,78.40%
61,58.20%,69.00%,72.10%,72.50%,74.00%,79.30%,75.20%
66A,,68.30%,67.50%,74.00%,76.80%,80.70%,81.00%
66B,,70.90%,69.10%,72.00%,75.50%,78.20%,80.00%
68,59.80%,63.70%,64.80%,68.10%,66.90%,74.70%,75.60%
69,62.50%,66.90%,69.00%,71.00%,70.00%,74.10%,73.80%
84,61.00%,65.90%,67.50%,69.10%,72.80%,72.90%,72.00%
118,58.50%,82.60%,63.50%,51.50%,66.00%,86.50%,83.60%
122,60.30%,67.10%,67.70%,68.60%,72.10%,76.50%,76.00%
142,41.50%,59.10%,65.80%,62.00%,66.10%,77.70%,80.20%
151,57.30%,64.50%,67.30%,67.40%,70.00%,73.70%,74.70%
25D,,76.50%,73.30%,73.70%,50.80%,82.30%,72.50%
14C,,,,,,,
26,68.30%,73.10%,74.40%,79.00%,80.60%,84.30%,83.30%
