Route,P13,P12,P11,P10,P9,P8,P7,P6,P5,P4,P3,P2,P1
7,56.20%,60.00%,58.50%,62.90%,61.20%,62.80%,62.20%,61.90%,64.80%,64.30%,65.00%,63.50%,56.60%
7A,54.00%,57.50%,58.50%,57.80%,59.70%,59.90%,61.20%,62.00%,62.80%,61.50%,62.80%,61.60%,55.40%
7B,53.10%,56.10%,56.60%,47.80%,55.90%,74.50%,56.30%,56.40%,62.70%,57.70%,68.10%,59.10%,47.90%
11,59.00%,61.60%,61.70%,58.90%,64.80%,70.20%,64.20%,66.20%,66.20%,64.00%,67.50%,63.40%,58.10%
15B,61.70%,68.50%,70.60%,69.70%,72.20%,73.10%,71.60%,71.90%,72.90%,72.70%,71.60%,72.00%,70.10%
15D,47.20%,51.80%,57.50%,58.70%,67.50%,71.40%,58.60%,51.60%,56.10%,64.00%,71.00%,66.90%,64.30%
33,56.00%,63.30%,61.70%,60.00%,60.30%,66.80%,64.10%,61.60%,64.70%,62.60%,63.20%,61.00%,56.40%
38,58.00%,60.30%,62.70%,58.90%,62.70%,66.00%,61.30%,63.10%,64.20%,62.80%,63.40%,64.00%,60.60%
38A,60.40%,62.90%,66.60%,61.90%,65.20%,67.80%,63.70%,66.00%,65.60%,64.20%,65.80%,66.00%,63.70%
38B,58.00%,61.50%,60.30%,51.40%,66.00%,75.90%,71.00%,72.10%,67.00%,63.40%,64.60%,71.70%,63.80%
38D,50.80%,63.40%,69.70%,61.40%,73.00%,79.40%,77.10%,68.00%,72.00%,65.50%,73.40%,60.80%,61.00%
39,49.40%,53.40%,58.60%,56.20%,57.20%,62.50%,60.20%,60.00%,60.20%,62.10%,62.70%,64.20%,61.70%
41C,60.90%,66.90%,64.70%,60.30%,55.80%,64.60%,66.90%,65.80%,65.80%,67.30%,67.20%,67.70%,65.90%
44,49.00%,53.40%,58.20%,56.60%,57.00%,63.70%,60.00%,60.20%,62.20%,59.70%,62.70%,60.10%,59.60%
46E,52.00%,47.80%,50.40%,41.50%,56.90%,80.20%,57.60%,67.60%,69.70%,64.60%,57.70%,63.90%,65.70%
47,57.90%,62.40%,64.80%,64.00%,64.80%,73.30%,69.50%,66.40%,70.60%,68.20%,68.40%,69.40%,65.40%
49,56.70%,58.70%,60.90%,60.60%,63.50%,71.60%,66.70%,62.30%,62.90%,64.20%,62.20%,65.70%,64.40%
