Route,P6,P5,P4,P3,P2,P1
13,2.41,1.98,1.81,1.78,1.77,1.9
16,1.57,2.77,2.17,2.42,2.3,1.71
27,3.95,3.67,3.31,3.6,3.88,2.52
39A,2.28,1.86,1.41,1.35,1.46,1.25
40,1.34,0.94,0.95,0.86,0.97,1.02
46A,3.11,2.56,2.4,2.19,2.35,1.89
123,2.14,3.23,2.93,2.84,2.39,2.13
14,2.54,3.28,1.82,2.32,2.25,1.52
145,2.83,2.75,1.98,2.29,2.03,2.04
15,2.04,2.17,1.46,1.57,1.73,1.18
9,2.33,2.03,1.45,1.27,1.46,1.36
1,0.57,0.92,0.37,0.54,0.56,0.4
130,1.7,1.92,1.31,1.23,1.36,1.43
140,1.11,1.15,0.88,0.81,1.11,0.71
4,1.96,1.43,1.19,1.18,1.25,1.63
N4,1.65,1.32,1.32,1.34,1.55,1.36
