Route,P6,P5,P4,P3,P2,P1
7,59.80%,59.30%,62.00%,61.20%,62.20%,59.60%
7A,59.10%,55.30%,58.90%,59.10%,56.90%,55.70%
7B,63.70%,60.10%,57.10%,62.50%,61.10%,55.80%
11,67.90%,63.90%,61.40%,62.80%,63.70%,61.40%
15B,74.30%,72.00%,71.50%,70.80%,71.10%,67.50%
15D,59.40%,59.60%,52.00%,59.70%,55.30%,57.70%
33,61.20%,62.50%,63.10%,63.10%,63.20%,61.50%
38,64.70%,63.60%,62.00%,63.20%,63.50%,60.70%
38A,67.00%,65.50%,65.70%,65.90%,65.70%,66.00%
38B,70.90%,66.40%,60.10%,59.10%,56.60%,53.10%
38D,72.00%,71.00%,74.90%,63.40%,71.20%,62.10%
39,60.30%,56.20%,58.50%,58.60%,57.80%,55.80%
41C,67.10%,64.50%,67.10%,66.90%,68.60%,66.90%
44,56.50%,52.00%,57.00%,54.60%,56.70%,57.50%
46E,64.80%,61.00%,43.10%,62.50%,49.00%,55.80%
47,70.80%,65.00%,61.30%,61.30%,64.80%,59.00%
49,67.80%,64.30%,64.00%,60.60%,61.40%,62.30%
65,67.90%,63.20%,68.80%,61.60%,65.20%,66.50%
65B,67.40%,63.90%,64.70%,63.60%,65.80%,66.90%
70,69.90%,67.00%,67.10%,67.80%,66.90%,64.20%
77A,59.30%,57.70%,59.10%,59.70%,62.40%,61.10%
83,60.60%,60.70%,61.20%,60.90%,63.30%,62.10%
83A,62.20%,60.60%,63.30%,62.60%,64.40%,63.40%
116,65.20%,57.60%,43.90%,52.10%,60.00%,52.50%
155,63.90%,61.40%,62.50%,61.50%,61.20%,57.80%
16D,57.00%,55.60%,64.80%,59.70%,62.40%,63.20%
7D,75.10%,72.70%,67.10%,75.20%,63.50%,70.40%
7E,89.80%,,,,,
15A,75.70%,73.00%,72.60%,72.50%,74.70%,70.40%
27B,73.40%,73.40%,76.30%,75.20%,74.60%,74.40%
37,59.50%,58.60%,60.90%,60.00%,61.10%,59.90%
41,70.40%,68.10%,71.60%,69.00%,71.90%,70.20%
41B,76.50%,72.40%,74.90%,74.30%,73.50%,77.40%
41D,70.20%,67.60%,65.90%,74.90%,73.80%,69.70%
42,64.00%,67.00%,70.00%,68.50%,69.10%,71.00%
43,72.50%,72.00%,71.70%,71.20%,73.60%,72.50%
54A,71.00%,65.70%,67.30%,67.70%,67.00%,63.00%
56A,64.60%,61.10%,66.30%,66.00%,66.10%,66.30%
61,67.20%,65.40%,66.90%,68.60%,68.20%,66.10%
68,65.70%,62.00%,62.40%,59.90%,63.50%,65.70%
69,62.20%,61.20%,63.50%,65.00%,65.20%,63.10%
84,68.70%,67.30%,68.50%,67.40%,67.20%,65.90%
118,47.70%,62.60%,43.50%,61.90%,47.80%,59.40%
122,66.10%,63.70%,62.40%,62.80%,65.20%,61.10%
142,62.70%,66.10%,61.60%,63.70%,65.30%,60.60%
151,58.10%,57.40%,60.40%,58.60%,63.90%,57.40%
26,71.80%,70.20%,70.00%,70.80%,70.70%,62.90%
27A,84.90%,83.60%,82.60%,83.20%,82.00%,78.10%
40B,77.50%,81.80%,75.30%,81.40%,79.70%,72.00%
40D,75.60%,75.80%,75.20%,74.00%,71.70%,68.00%
40E,88.30%,89.30%,88.50%,87.40%,87.20%,85.60%
42D,65.90%,73.70%,67.90%,64.10%,70.70%,65.90%
44B,76.80%,61.50%,79.40%,67.10%,69.30%,65.80%
53,76.40%,79.50%,74.20%,78.30%,83.50%,79.60%
68A,61.80%,61.60%,55.90%,59.60%,58.90%,57.60%
84A,68.40%,64.30%,57.20%,64.10%,59.70%,60.70%
70D,70.30%,74.40%,68.40%,66.10%,64.80%,54.70%
120,81.20%,79.00%,78.90%,79.70%,81.70%,82.30%
150,67.50%,68.40%,66.30%,67.40%,67.60%,68.60%
H1,72.80%,78.20%,80.90%,78.20%,78.80%,78.20%
H2,64.90%,71.30%,75.90%,73.20%,73.40%,71.00%
H3,68.90%,71.60%,76.20%,75.70%,76.10%,73.80%
6,67.60%,75.40%,77.50%,77.90%,76.00%,76.60%
C1,64.40%,61.90%,62.00%,63.90%,63.00%,58.50%
