boro,street,yr,m,sum_vol,count_requestid
Queens,SUNRISE HIGHWAY,2018,5,360652,1027
Brooklyn,S/B 21 AVE @ 76 ST,2009,10,12323,392
Queens,HILLSIDE AV,2014,5,688152,4609
Brooklyn,FLATBUSH AVENUE,2019,1,431113,4032
Brooklyn,SHORE PKWY,2012,10,84580,2623
Brooklyn,CARROLL ST BRIDGE,2015,5,428,70
Manhattan,FDR DRIVE @ EAST 63 ST ENTRANCE,2008,8,1022478,1537
Staten Island,W/B HYLAN BLVD @ OTIS AVE,2010,6,104849,378
Manhattan,WEST 42 STREET,2019,1,1283402,12096
Brooklyn,PATCHEN AVENUE,2016,6,18952,786
Staten Island,COLON AV,2013,11,6210,1466
Manhattan,GRAND STREET,2016,11,78381,864
Brooklyn,DIVISION AVENUE,2017,11,18708,576
Bronx,WEBSTER AVENUE,2016,7,36387,766
Manhattan,S/B VARICK ST(2 LANE W/S) S OF BROOME ST,2010,10,20750,659
Brooklyn,EAST 34 STREET,2017,11,5416,393
Brooklyn,BELT PARKWAY EXIT 14 WESTBOUND,2015,3,77673,672
Queens,FLUSHING BRIDGE,2016,4,1128629,4181
Queens,LITTLE NECK BR,2012,4,57998,254
Manhattan,WEST 154 STREET,2018,10,2534,288
Brooklyn,PROSPECT PARK SW,2013,4,158337,2708
Brooklyn,YORK STREET,2019,6,10075,672
Queens,W/B 84 DR @ 150 ST,2009,12,9284,389
Queens,LEFFERTS BLVD,2013,10,78690,2408
Brooklyn,N 6 ST,2014,3,10570,1536
Bronx,MACOMBS DAM BRIDGE,2017,10,385395,1377
Brooklyn,S/B E 46 ST @ AVE D,2010,6,3963,382
Manhattan,EAST 111 STREET,2016,9,6500,480
Brooklyn,SHORE PARKWAY,2017,6,112905,565
Brooklyn,QUENTIN ROAD,2015,3,21877,1344
Bronx,BRONXDALE AV,2012,8,148612,2822
Brooklyn,HAMILTON AVENUE BRIDGE,2018,5,730060,2496
Queens,70 RD,2014,6,112560,7987
Bronx,EAST 156 STREET,2015,5,9795,48
Bronx,ZEREGA AVENUE,2014,11,20738,672
Bronx,BRUCKNER BOULEVARD,2016,5,1542463,7462
Brooklyn,CHAUNCEY STREET,2017,4,5047,392
Manhattan,MADISON AVENUE,2016,10,781560,3381
Manhattan,WEST 61 STREET,2012,6,3507,957
Queens,E/B 37 AVE @ 34 ST,2010,2,12495,385
Queens,MARATHON PKWY,2013,1,21993,590
Queens,BORDEN AVENUE,2015,5,151414,2592
Brooklyn,KNICKERBOCKER AVENUE,2017,6,165637,2016
Brooklyn,BQE WB ENTRANCE MEEKER AVE,2016,10,87141,784
Manhattan,E/B CANAL ST @ ALEN ST,2010,11,49552,782
Bronx,EAST BURNSIDE AVENUE,2016,6,52058,384
Bronx,WESTCHESTER AVENUE,2016,10,36073,576
Brooklyn,DIVISION AVENUE,2014,11,100956,3456
Queens,E/B MADISON ST @  60 PLACE,2010,10,13032,680
Queens,S/B BELL BLVD @ 18 AVE,2009,7,22545,382
Staten Island,RICHMOND ROAD,2015,2,133096,1881
Queens,33 STREET,2018,2,204392,2688
Staten Island,KELLY BLVD,2012,5,33374,959
Manhattan,CENTRAL PARK SOUTH,2017,12,537073,4218
Manhattan,RIVERSIDE DRIVE,2014,10,69291,1728
Brooklyn,N/B 7 AVENUE @ 92 STREET,2008,9,51717,192
Brooklyn,JACKIE ROBINSON PARKWAY,2019,4,111694,288
Staten Island,RICHMOND HILL ROAD,2019,1,142613,2112
Brooklyn,SARATOGA AVENUE,2016,11,25176,324
Queens,COLLEGE POINT BOULEVARD,2017,12,8715,107
Manhattan,8 AVENUE,2017,11,671153,3264
Brooklyn,CORNELIA STREET,2017,5,27926,1343
Bronx,EASTCHESTER ROAD,2015,11,134415,1536
Manhattan,12 AVENUE,2017,10,1928735,3444
Queens,LANDER ST,2013,10,17829,1205
Brooklyn,KINGS HIGHWAY,2019,10,444346,5760
Manhattan,ED KOCH QUEENSBORO BRIDGE,2020,10,541458,3936
Bronx,N/B RIVERDALE AVE @ WEST 263 ST -,2008,4,58736,336
Queens,ASTORIA BLVD,2012,6,459282,1548
Queens,120 STREET,2016,11,3387,252
Queens,NORTHERN BOULEVARD,2017,10,179461,955
