year,month,location_id,direction,value_type,value
2010,1,1,I,vehicle_count,1105953
2010,1,1,O,vehicle_count,1089244
2010,1,2,I,vehicle_count,1325788
2010,1,2,O,vehicle_count,1053374
2010,1,3,I,vehicle_count,1583758
2010,1,3,O,vehicle_count,1643783
2010,1,4,I,vehicle_count,935337
2010,1,4,O,vehicle_count,817107
2010,1,5,I,vehicle_count,283938
2010,1,5,O,vehicle_count,287122
2010,1,6,I,vehicle_count,301163
2010,1,6,O,vehicle_count,284732
2010,1,7,I,vehicle_count,1174775
2010,1,7,O,vehicle_count,976742
2010,1,8,I,vehicle_count,658303
2010,1,8,O,vehicle_count,592526
2010,1,9,I,vehicle_count,1472521
2010,1,9,O,vehicle_count,1552087
2010,1,11,I,vehicle_count,2699696
2010,2,1,I,vehicle_count,963089
2010,2,1,O,vehicle_count,954458
2010,2,2,I,vehicle_count,1143110
2010,2,2,O,vehicle_count,920274
2010,2,3,I,vehicle_count,1363450
2010,2,3,O,vehicle_count,1421268
2010,2,4,I,vehicle_count,783541
2010,2,4,O,vehicle_count,697801
2010,2,5,I,vehicle_count,236753
2010,2,5,O,vehicle_count,238415
2010,2,6,I,vehicle_count,258058
2010,2,6,O,vehicle_count,243705
2010,2,7,I,vehicle_count,1037065
2010,2,7,O,vehicle_count,870003
2010,2,8,I,vehicle_count,585057
2010,2,8,O,vehicle_count,522982
2010,2,9,I,vehicle_count,1251655
2010,2,9,O,vehicle_count,1313674
2010,2,11,I,vehicle_count,2260807
2010,3,1,I,vehicle_count,1207635
2010,3,1,O,vehicle_count,1217311
2010,3,2,I,vehicle_count,1504705
2010,3,2,O,vehicle_count,1195952
2010,3,3,I,vehicle_count,1716900
2010,3,3,O,vehicle_count,1807296
2010,3,4,I,vehicle_count,1012774
2010,3,4,O,vehicle_count,905604
2010,3,5,I,vehicle_count,310675
2010,3,5,O,vehicle_count,320553
2010,3,6,I,vehicle_count,333731
2010,3,6,O,vehicle_count,317637
2010,3,7,I,vehicle_count,1353681
2010,3,7,O,vehicle_count,1113345
2010,3,8,I,vehicle_count,740174
2010,3,8,O,vehicle_count,665096
2010,3,9,I,vehicle_count,1590880
2010,3,9,O,vehicle_count,1635473
2010,3,11,I,vehicle_count,2885236
2010,4,1,I,vehicle_count,1202516
2010,4,1,O,vehicle_count,1226414
2010,4,2,I,vehicle_count,1501810
2010,4,2,O,vehicle_count,1220607
2010,4,3,I,vehicle_count,1738916
2010,4,3,O,vehicle_count,1917435
2010,4,4,I,vehicle_count,1056211
2010,4,4,O,vehicle_count,938760
2010,4,5,I,vehicle_count,313258
2010,4,5,O,vehicle_count,315467
2010,4,6,I,vehicle_count,330901
2010,4,6,O,vehicle_count,312395
2010,4,7,I,vehicle_count,1319208
2010,4,7,O,vehicle_count,1079608
2010,4,8,I,vehicle_count,739650
2010,4,8,O,vehicle_count,645349
2010,4,9,I,vehicle_count,1607193
2010,4,9,O,vehicle_count,1559102
2010,4,11,I,vehicle_count,2881192
2010,5,1,I,vehicle_count,1274191
2010,5,1,O,vehicle_count,1307622
2010,5,2,I,vehicle_count,1580187
2010,5,2,O,vehicle_count,1297674
2010,5,3,I,vehicle_count,1855082
2010,5,3,O,vehicle_count,2106420
2010,5,4,I,vehicle_count,1098475
2010,5,4,O,vehicle_count,971721
2010,5,5,I,vehicle_count,358364
2010,5,5,O,vehicle_count,351502
2010,5,6,I,vehicle_count,366994
2010,5,6,O,vehicle_count,347434
2010,5,7,I,vehicle_count,1374913
2010,5,7,O,vehicle_count,1125544
2010,5,8,I,vehicle_count,755948
2010,5,8,O,vehicle_count,667809
2010,5,9,I,vehicle_count,1699794
2010,5,9,O,vehicle_count,1582131
2010,5,11,I,vehicle_count,3021246
2010,6,1,I,vehicle_count,1274369
2010,6,1,O,vehicle_count,1288934
2010,6,2,I,vehicle_count,1578180
2010,6,2,O,vehicle_count,1281227
2010,6,3,I,vehicle_count,1778733
2010,6,3,O,vehicle_count,2054357
2010,6,4,I,vehicle_count,1091279
2010,6,4,O,vehicle_count,942120
2010,6,5,I,vehicle_count,388648
2010,6,5,O,vehicle_count,382809
2010,6,6,I,vehicle_count,389208
2010,6,6,O,vehicle_count,366018
2010,6,7,I,vehicle_count,1400554
2010,6,7,O,vehicle_count,1127767
2010,6,8,I,vehicle_count,777910
2010,6,8,O,vehicle_count,668149
2010,6,9,I,vehicle_count,1705870
2010,6,9,O,vehicle_count,1558967
2010,6,11,I,vehicle_count,3041551
2010,7,1,I,vehicle_count,1318837
2010,7,1,O,vehicle_count,1302559
2010,7,2,I,vehicle_count,1520969
2010,7,2,O,vehicle_count,1240658
2010,7,3,I,vehicle_count,1768217
2010,7,3,O,vehicle_count,1949373
2010,7,4,I,vehicle_count,1044822
2010,7,4,O,vehicle_count,890462
2010,7,5,I,vehicle_count,422692
2010,7,5,O,vehicle_count,421278
2010,7,6,I,vehicle_count,398447
2010,7,6,O,vehicle_count,377753
2010,7,7,I,vehicle_count,1352304
2010,7,7,O,vehicle_count,1110266
2010,7,8,I,vehicle_count,735530
2010,7,8,O,vehicle_count,623812
2010,7,9,I,vehicle_count,1823294
2010,7,9,O,vehicle_count,1783589
2010,7,11,I,vehicle_count,3047093
2010,8,1,I,vehicle_count,1341430
2010,8,1,O,vehicle_count,1317980
2010,8,2,I,vehicle_count,1543963
2010,8,2,O,vehicle_count,1252006
2010,8,3,I,vehicle_count,1723255
2010,8,3,O,vehicle_count,1886559
2010,8,4,I,vehicle_count,1074783
2010,8,4,O,vehicle_count,897707
2010,8,5,I,vehicle_count,394423
2010,8,5,O,vehicle_count,395819
2010,8,6,I,vehicle_count,363481
2010,8,6,O,vehicle_count,344534
2010,8,7,I,vehicle_count,1395673
2010,8,7,O,vehicle_count,1138933
2010,8,8,I,vehicle_count,761100
2010,8,8,O,vehicle_count,659553
2010,8,9,I,vehicle_count,1876238
2010,8,9,O,vehicle_count,1869406
2010,8,11,I,vehicle_count,3063293
2010,9,1,I,vehicle_count,1277340
2010,9,1,O,vehicle_count,1236483
2010,9,2,I,vehicle_count,1499720
2010,9,2,O,vehicle_count,1227396
2010,9,3,I,vehicle_count,1528657
2010,9,3,O,vehicle_count,1730017
2010,9,4,I,vehicle_count,1062274
2010,9,4,O,vehicle_count,892972
2010,9,5,I,vehicle_count,331509
2010,9,5,O,vehicle_count,333686
2010,9,6,I,vehicle_count,328428
2010,9,6,O,vehicle_count,307908
2010,9,7,I,vehicle_count,1346309
2010,9,7,O,vehicle_count,1104211
2010,9,8,I,vehicle_count,742110
2010,9,8,O,vehicle_count,647065
2010,9,9,I,vehicle_count,1745830
2010,9,9,O,vehicle_count,1739977
2010,9,11,I,vehicle_count,2865970
2010,10,1,I,vehicle_count,1313973
2010,10,1,O,vehicle_count,1271751
2010,10,2,I,vehicle_count,1558451
2010,10,2,O,vehicle_count,1251895
2010,10,3,I,vehicle_count,1489842
2010,10,3,O,vehicle_count,1745546
2010,10,4,I,vehicle_count,1129130
2010,10,4,O,vehicle_count,971131
2010,10,5,I,vehicle_count,321311
2010,10,5,O,vehicle_count,323815
2010,10,6,I,vehicle_count,322402
2010,10,6,O,vehicle_count,300414
2010,10,7,I,vehicle_count,1429773
2010,10,7,O,vehicle_count,1161573
2010,10,8,I,vehicle_count,805239
2010,10,8,O,vehicle_count,709247
2010,10,9,I,vehicle_count,1820716
2010,10,9,O,vehicle_count,1782995
2010,10,11,I,vehicle_count,2978523
2010,11,1,I,vehicle_count,1198570
2010,11,1,O,vehicle_count,1193310
2010,11,2,I,vehicle_count,1474276
2010,11,2,O,vehicle_count,1169872
2010,11,3,I,vehicle_count,1529686
2010,11,3,O,vehicle_count,1673916
