year,month,location_id,direction,value_type,value,data_source
2010,01,1,I,vehicle_count,1105953,hourly_traffic
2010,01,1,O,vehicle_count,1089244,hourly_traffic
2010,01,2,I,vehicle_count,1325788,hourly_traffic
2010,01,2,O,vehicle_count,1053374,hourly_traffic
2010,01,3,I,vehicle_count,1583758,hourly_traffic
2010,01,3,O,vehicle_count,1643783,hourly_traffic
2010,01,4,I,vehicle_count,935337,hourly_traffic
2010,01,4,O,vehicle_count,817107,hourly_traffic
2010,01,5,I,vehicle_count,283938,hourly_traffic
2010,01,5,O,vehicle_count,287122,hourly_traffic
2010,01,6,I,vehicle_count,301163,hourly_traffic
2010,01,6,O,vehicle_count,284732,hourly_traffic
2010,01,7,I,vehicle_count,1174775,hourly_traffic
2010,01,7,O,vehicle_count,976742,hourly_traffic
2010,01,8,I,vehicle_count,658303,hourly_traffic
2010,01,8,O,vehicle_count,592526,hourly_traffic
2010,01,9,I,vehicle_count,1472521,hourly_traffic
2010,01,9,O,vehicle_count,1552087,hourly_traffic
2010,01,11,I,vehicle_count,2699696,hourly_traffic
2010,02,1,I,vehicle_count,963089,hourly_traffic
2010,02,1,O,vehicle_count,954458,hourly_traffic
2010,02,2,I,vehicle_count,1143110,hourly_traffic
2010,02,2,O,vehicle_count,920274,hourly_traffic
2010,02,3,I,vehicle_count,1363450,hourly_traffic
2010,02,3,O,vehicle_count,1421268,hourly_traffic
2010,02,4,I,vehicle_count,783541,hourly_traffic
2010,02,4,O,vehicle_count,697801,hourly_traffic
2010,02,5,I,vehicle_count,236753,hourly_traffic
2010,02,5,O,vehicle_count,238415,hourly_traffic
2010,02,6,I,vehicle_count,258058,hourly_traffic
2010,02,6,O,vehicle_count,243705,hourly_traffic
2010,02,7,I,vehicle_count,1037065,hourly_traffic
2010,02,7,O,vehicle_count,870003,hourly_traffic
2010,02,8,I,vehicle_count,585057,hourly_traffic
2010,02,8,O,vehicle_count,522982,hourly_traffic
2010,02,9,I,vehicle_count,1251655,hourly_traffic
2010,02,9,O,vehicle_count,1313674,hourly_traffic
2010,02,11,I,vehicle_count,2260807,hourly_traffic
2010,03,1,I,vehicle_count,1207635,hourly_traffic
2010,03,1,O,vehicle_count,1217311,hourly_traffic
2010,03,2,I,vehicle_count,1504705,hourly_traffic
2010,03,2,O,vehicle_count,1195952,hourly_traffic
2010,03,3,I,vehicle_count,1716900,hourly_traffic
2010,03,3,O,vehicle_count,1807296,hourly_traffic
2010,03,4,I,vehicle_count,1012774,hourly_traffic
2010,03,4,O,vehicle_count,905604,hourly_traffic
2010,03,5,I,vehicle_count,310675,hourly_traffic
2010,03,5,O,vehicle_count,320553,hourly_traffic
2010,03,6,I,vehicle_count,333731,hourly_traffic
2010,03,6,O,vehicle_count,317637,hourly_traffic
2010,03,7,I,vehicle_count,1353681,hourly_traffic
2010,03,7,O,vehicle_count,1113345,hourly_traffic
2010,03,8,I,vehicle_count,740174,hourly_traffic
2010,03,8,O,vehicle_count,665096,hourly_traffic
2010,03,9,I,vehicle_count,1590880,hourly_traffic
2010,03,9,O,vehicle_count,1635473,hourly_traffic
2010,03,11,I,vehicle_count,2885236,hourly_traffic
2010,04,1,I,vehicle_count,1202516,hourly_traffic
2010,04,1,O,vehicle_count,1226414,hourly_traffic
2010,04,2,I,vehicle_count,1501810,hourly_traffic
2010,04,2,O,vehicle_count,1220607,hourly_traffic
2010,04,3,I,vehicle_count,1738916,hourly_traffic
2010,04,3,O,vehicle_count,1917435,hourly_traffic
2010,04,4,I,vehicle_count,1056211,hourly_traffic
2010,04,4,O,vehicle_count,938760,hourly_traffic
2010,04,5,I,vehicle_count,313258,hourly_traffic
2010,04,5,O,vehicle_count,315467,hourly_traffic
2010,04,6,I,vehicle_count,330901,hourly_traffic
2010,04,6,O,vehicle_count,312395,hourly_traffic
2010,04,7,I,vehicle_count,1319208,hourly_traffic
2010,04,7,O,vehicle_count,1079608,hourly_traffic
2010,04,8,I,vehicle_count,739650,hourly_traffic
2010,04,8,O,vehicle_count,645349,hourly_traffic
2010,04,9,I,vehicle_count,1607193,hourly_traffic
2010,04,9,O,vehicle_count,1559102,hourly_traffic
2010,04,11,I,vehicle_count,2881192,hourly_traffic
2010,05,1,I,vehicle_count,1274191,hourly_traffic
2010,05,1,O,vehicle_count,1307622,hourly_traffic
2010,05,2,I,vehicle_count,1580187,hourly_traffic
2010,05,2,O,vehicle_count,1297674,hourly_traffic
2010,05,3,I,vehicle_count,1855082,hourly_traffic
2010,05,3,O,vehicle_count,2106420,hourly_traffic
2010,05,4,I,vehicle_count,1098475,hourly_traffic
2010,05,4,O,vehicle_count,971721,hourly_traffic
2010,05,5,I,vehicle_count,358364,hourly_traffic
2010,05,5,O,vehicle_count,351502,hourly_traffic
2010,05,6,I,vehicle_count,366994,hourly_traffic
2010,05,6,O,vehicle_count,347434,hourly_traffic
2010,05,7,I,vehicle_count,1374913,hourly_traffic
2010,05,7,O,vehicle_count,1125544,hourly_traffic
2010,05,8,I,vehicle_count,755948,hourly_traffic
2010,05,8,O,vehicle_count,667809,hourly_traffic
2010,05,9,I,vehicle_count,1699794,hourly_traffic
2010,05,9,O,vehicle_count,1582131,hourly_traffic
2010,05,11,I,vehicle_count,3021246,hourly_traffic
2010,06,1,I,vehicle_count,1274369,hourly_traffic
2010,06,1,O,vehicle_count,1288934,hourly_traffic
2010,06,2,I,vehicle_count,1578180,hourly_traffic
2010,06,2,O,vehicle_count,1281227,hourly_traffic
2010,06,3,I,vehicle_count,1778733,hourly_traffic
2010,06,3,O,vehicle_count,2054357,hourly_traffic
2010,06,4,I,vehicle_count,1091279,hourly_traffic
2010,06,4,O,vehicle_count,942120,hourly_traffic
2010,06,5,I,vehicle_count,388648,hourly_traffic
2010,06,5,O,vehicle_count,382809,hourly_traffic
2010,06,6,I,vehicle_count,389208,hourly_traffic
2010,06,6,O,vehicle_count,366018,hourly_traffic
2010,06,7,I,vehicle_count,1400554,hourly_traffic
2010,06,7,O,vehicle_count,1127767,hourly_traffic
2010,06,8,I,vehicle_count,777910,hourly_traffic
2010,06,8,O,vehicle_count,668149,hourly_traffic
2010,06,9,I,vehicle_count,1705870,hourly_traffic
