"month","borough","day_type","trip_type","route_id","period","actual_number_of_buses","scheduled_number_of_buses","service_delivered"
"2020-01","Bronx","1","LCL/LTD","BX1","Peak","948","990","0.957575758"
"2020-01","Bronx","2","LCL/LTD","BX1","Peak","167","173","0.965317919"
"2020-01","Bronx","1","LCL/LTD","BX10","Peak","884","924","0.956709957"
"2020-01","Bronx","2","LCL/LTD","BX10","Peak","179","178","1.005617978"
"2020-01","Bronx","1","LCL/LTD","BX11","Peak","1162","1188","0.978114478"
"2020-01","Bronx","2","LCL/LTD","BX11","Peak","231","235","0.982978723"
"2020-01","Bronx","1","LCL/LTD","BX12","Peak","725","726","0.99862259"
"2020-01","Bronx","2","LCL/LTD","BX12","Peak","215","215","1"
"2020-01","Bronx","1","LCL/LTD","BX13","Peak","1447","1518","0.953227931"
"2020-01","Bronx","2","LCL/LTD","BX13","Peak","290","286","1.013986014"
"2020-01","Bronx","1","LCL/LTD","BX15","Peak","1601","1729","0.925968768"
"2020-01","Bronx","2","LCL/LTD","BX15","Peak","319","320","0.996875"
"2020-01","Bronx","1","LCL/LTD","BX16","Peak","802","836","0.959330144"
"2020-01","Bronx","2","LCL/LTD","BX16","Peak","117","122","0.959016393"
"2020-01","Bronx","1","LCL/LTD","BX17","Peak","869","902","0.963414634"
"2020-01","Bronx","2","LCL/LTD","BX17","Peak","194","197","0.984771574"
"2020-01","Bronx","1","LCL/LTD","BX18","Peak","413","440","0.938636364"
"2020-01","Bronx","2","LCL/LTD","BX18","Peak","76","80","0.95"
"2020-01","Bronx","1","LCL/LTD","BX19","Peak","930","968","0.960743802"
"2020-01","Bronx","2","LCL/LTD","BX19","Peak","272","271","1.003690037"
"2020-01","Bronx","1","LCL/LTD","BX2","Peak","850","836","1.016746411"
"2020-01","Bronx","2","LCL/LTD","BX2","Peak","178","180","0.988888889"
"2020-01","Bronx","1","LCL/LTD","BX20","Peak","400","374","1.069518717"
"2020-01","Bronx","1","LCL/LTD","BX21","Peak","932","946","0.985200846"
"2020-01","Bronx","2","LCL/LTD","BX21","Peak","184","186","0.989247312"
"2020-01","Bronx","1","LCL/LTD","BX22","Peak","903","924","0.977272727"
"2020-01","Bronx","2","LCL/LTD","BX22","Peak","198","205","0.965853659"
"2020-01","Bronx","1","LCL/LTD","BX23","Peak","968","968","1"
"2020-01","Bronx","2","LCL/LTD","BX23","Peak","87","90","0.966666667"
"2020-01","Bronx","1","LCL/LTD","BX24","Peak","221","221","1"
"2020-01","Bronx","2","LCL/LTD","BX24","Peak","89","90","0.988888889"
"2020-01","Bronx","1","LCL/LTD","BX26","Peak","793","814","0.974201474"
"2020-01","Bronx","2","LCL/LTD","BX26","Peak","161","165","0.975757576"
"2020-01","Bronx","1","LCL/LTD","BX27","Peak","1154","1188","0.971380471"
"2020-01","Bronx","2","LCL/LTD","BX27","Peak","189","187","1.010695187"
"2020-01","Bronx","1","LCL/LTD","BX28","Peak","562","594","0.946127946"
"2020-01","Bronx","2","LCL/LTD","BX28","Peak","132","138","0.956521739"
"2020-01","Bronx","1","LCL/LTD","BX29","Peak","434","440","0.986363636"
"2020-01","Bronx","2","LCL/LTD","BX29","Peak","115","116","0.99137931"
"2020-01","Bronx","1","LCL/LTD","BX3","Peak","1016","1012","1.003952569"
"2020-01","Bronx","2","LCL/LTD","BX3","Peak","308","316","0.974683544"
"2020-01","Bronx","1","LCL/LTD","BX30","Peak","851","880","0.967045455"
"2020-01","Bronx","2","LCL/LTD","BX30","Peak","163","159","1.025157233"
