"month","borough","day_type","trip_type","route_id","period","number_of_trips_passing_wait","number_of_scheduled_trips","wait_assessment"
"2020-01","Bronx","1","LCL/LTD","BX1","Off-Peak","16761","20356","0.823393594"
"2020-01","Bronx","1","LCL/LTD","BX1","Peak","7557","10699","0.706327694"
"2020-01","Bronx","2","LCL/LTD","BX1","Off-Peak","4561","5468","0.834125823"
"2020-01","Bronx","2","LCL/LTD","BX1","Peak","1910","2409","0.792860108"
"2020-01","Bronx","1","LCL/LTD","BX10","Off-Peak","12640","15257","0.828472177"
"2020-01","Bronx","1","LCL/LTD","BX10","Peak","5512","7883","0.699226183"
"2020-01","Bronx","2","LCL/LTD","BX10","Off-Peak","3049","3853","0.79133143"
"2020-01","Bronx","2","LCL/LTD","BX10","Peak","1224","1546","0.791720569"
"2020-01","Bronx","1","LCL/LTD","BX11","Off-Peak","9719","12902","0.753294063"
"2020-01","Bronx","1","LCL/LTD","BX11","Peak","5268","8003","0.658253155"
"2020-01","Bronx","2","LCL/LTD","BX11","Off-Peak","3258","4046","0.805239743"
"2020-01","Bronx","2","LCL/LTD","BX11","Peak","1286","1712","0.751168224"
"2020-01","Bronx","1","LCL/LTD","BX12","Off-Peak","12900","15068","0.856118928"
"2020-01","Bronx","1","LCL/LTD","BX12","Peak","4332","6014","0.720319255"
"2020-01","Bronx","2","LCL/LTD","BX12","Off-Peak","4916","5509","0.89235796"
"2020-01","Bronx","2","LCL/LTD","BX12","Peak","1605","1833","0.875613748"
"2020-01","Bronx","1","LCL/LTD","BX13","Off-Peak","8937","10093","0.885465174"
"2020-01","Bronx","1","LCL/LTD","BX13","Peak","4713","5967","0.789844143"
"2020-01","Bronx","2","LCL/LTD","BX13","Off-Peak","3114","3331","0.934854398"
"2020-01","Bronx","2","LCL/LTD","BX13","Peak","1341","1479","0.906693712"
"2020-01","Bronx","1","LCL/LTD","BX15","Off-Peak","24562","33010","0.744077552"
"2020-01","Bronx","1","LCL/LTD","BX15","Peak","9592","14749","0.650349176"
"2020-01","Bronx","2","LCL/LTD","BX15","Off-Peak","9619","11981","0.80285452"
"2020-01","Bronx","2","LCL/LTD","BX15","Peak","3640","4603","0.790788616"
"2020-01","Bronx","1","LCL/LTD","BX16","Off-Peak","10141","12954","0.782846997"
"2020-01","Bronx","1","LCL/LTD","BX16","Peak","5127","7904","0.648658907"
"2020-01","Bronx","2","LCL/LTD","BX16","Off-Peak","2632","3569","0.737461474"
"2020-01","Bronx","2","LCL/LTD","BX16","Peak","1006","1432","0.702513966"
"2020-01","Bronx","1","LCL/LTD","BX17","Off-Peak","9212","12249","0.752061393"
"2020-01","Bronx","1","LCL/LTD","BX17","Peak","5008","7614","0.65773575"
"2020-01","Bronx","2","LCL/LTD","BX17","Off-Peak","3222","3982","0.809141135"
"2020-01","Bronx","2","LCL/LTD","BX17","Peak","1342","1712","0.783878505"
"2020-01","Bronx","1","LCL/LTD","BX18","Off-Peak","1541","2060","0.748058252"
"2020-01","Bronx","1","LCL/LTD","BX18","Peak","797","1278","0.623630673"
"2020-01","Bronx","2","LCL/LTD","BX18","Off-Peak","425","540","0.787037037"
"2020-01","Bronx","2","LCL/LTD","BX18","Peak","163","203","0.802955665"
"2020-01","Bronx","1","LCL/LTD","BX19","Off-Peak","25944","31140","0.833140655"
"2020-01","Bronx","1","LCL/LTD","BX19","Peak","10309","14569","0.707598325"
"2020-01","Bronx","2","LCL/LTD","BX19","Off-Peak","9898","11342","0.872685593"
"2020-01","Bronx","2","LCL/LTD","BX19","Peak","3767","4448","0.846897482"
"2020-01","Bronx","1","LCL/LTD","BX2","Off-Peak","12476","15319","0.814413473"
"2020-01","Bronx","1","LCL/LTD","BX2","Peak","5986","8273","0.723558564"
"2020-01","Bronx","2","LCL/LTD","BX2","Off-Peak","3227","3921","0.823004336"
"2020-01","Bronx","2","LCL/LTD","BX2","Peak","1487","1841","0.807713199"
"2020-01","Bronx","1","LCL/LTD","BX20","Off-Peak","235","256","0.91796875"
"2020-01","Bronx","1","LCL/LTD","BX20","Peak","771","1039","0.742059673"
"2020-01","Bronx","1","LCL/LTD","BX21","Off-Peak","18553","22874","0.811095567"
"2020-01","Bronx","1","LCL/LTD","BX21","Peak","8060","11708","0.688418176"
"2020-01","Bronx","2","LCL/LTD","BX21","Off-Peak","5529","6422","0.860946746"
"2020-01","Bronx","2","LCL/LTD","BX21","Peak","1923","2336","0.823202055"
"2020-01","Bronx","1","LCL/LTD","BX22","Off-Peak","18675","21354","0.874543411"
"2020-01","Bronx","1","LCL/LTD","BX22","Peak","9394","12357","0.760216881"
"2020-01","Bronx","2","LCL/LTD","BX22","Off-Peak","5628","6582","0.855059253"
"2020-01","Bronx","2","LCL/LTD","BX22","Peak","1887","2301","0.820078227"
"2020-01","Bronx","1","LCL/LTD","BX23","Off-Peak","3677","3902","0.942337263"
"2020-01","Bronx","1","LCL/LTD","BX23","Peak","2886","3485","0.828120516"
"2020-01","Bronx","2","LCL/LTD","BX23","Off-Peak","1087","1145","0.949344978"
"2020-01","Bronx","2","LCL/LTD","BX23","Peak","458","509","0.899803536"
"2020-01","Bronx","1","LCL/LTD","BX24","Off-Peak","2001","2164","0.924676525"
"2020-01","Bronx","1","LCL/LTD","BX24","Peak","644","794","0.811083123"
"2020-01","Bronx","2","LCL/LTD","BX24","Off-Peak","880","955","0.921465969"
"2020-01","Bronx","2","LCL/LTD","BX24","Peak","314","346","0.907514451"
"2020-01","Bronx","1","LCL/LTD","BX26","Off-Peak","10850","12652","0.857571925"
"2020-01","Bronx","1","LCL/LTD","BX26","Peak","5996","7737","0.774977381"
"2020-01","Bronx","2","LCL/LTD","BX26","Off-Peak","3119","3556","0.877109111"
"2020-01","Bronx","2","LCL/LTD","BX26","Peak","1288","1510","0.852980132"
"2020-01","Bronx","1","LCL/LTD","BX27","Off-Peak","10202","11902","0.857166863"
"2020-01","Bronx","1","LCL/LTD","BX27","Peak","5827","7877","0.739748635"
"2020-01","Bronx","2","LCL/LTD","BX27","Off-Peak","3106","3593","0.86445867"
"2020-01","Bronx","2","LCL/LTD","BX27","Peak","1367","1610","0.849068323"
"2020-01","Bronx","1","LCL/LTD","BX28","Off-Peak","9278","11192","0.828984989"
"2020-01","Bronx","1","LCL/LTD","BX28","Peak","3154","4650","0.67827957"
"2020-01","Bronx","2","LCL/LTD","BX28","Off-Peak","3068","3606","0.850804215"
"2020-01","Bronx","2","LCL/LTD","BX28","Peak","1209","1399","0.864188706"
"2020-01","Bronx","1","LCL/LTD","BX29","Off-Peak","2237","2483","0.900926299"
"2020-01","Bronx","1","LCL/LTD","BX29","Peak","1223","1456","0.839972527"
"2020-01","Bronx","2","LCL/LTD","BX29","Off-Peak","1054","1118","0.942754919"
"2020-01","Bronx","2","LCL/LTD","BX29","Peak","398","431","0.923433875"
"2020-01","Bronx","1","LCL/LTD","BX3","Off-Peak","11599","15074","0.769470612"
"2020-01","Bronx","1","LCL/LTD","BX3","Peak","4759","7054","0.674652679"
"2020-01","Bronx","2","LCL/LTD","BX3","Off-Peak","4440","5342","0.831149382"
"2020-01","Bronx","2","LCL/LTD","BX3","Peak","1694","2179","0.777420835"
"2020-01","Bronx","1","LCL/LTD","BX30","Off-Peak","10305","13556","0.760179994"
"2020-01","Bronx","1","LCL/LTD","BX30","Peak","5528","8348","0.662194538"
"2020-01","Bronx","2","LCL/LTD","BX30","Off-Peak","2610","3396","0.768551237"
"2020-01","Bronx","2","LCL/LTD","BX30","Peak","1130","1504","0.751329787"
"2020-01","Bronx","1","LCL/LTD","BX31","Off-Peak","7791","9190","0.847769314"
"2020-01","Bronx","1","LCL/LTD","BX31","Peak","3473","4863","0.714168209"
"2020-01","Bronx","2","LCL/LTD","BX31","Off-Peak","2091","2348","0.890545145"
"2020-01","Bronx","2","LCL/LTD","BX31","Peak","757","900","0.841111111"
"2020-01","Bronx","1","LCL/LTD","BX32","Off-Peak","5750","7330","0.784447476"
"2020-01","Bronx","1","LCL/LTD","BX32","Peak","3095","4690","0.659914712"
"2020-01","Bronx","2","LCL/LTD","BX32","Off-Peak","1167","1523","0.766250821"
"2020-01","Bronx","2","LCL/LTD","BX32","Peak","457","595","0.768067227"
"2020-01","Bronx","1","LCL/LTD","BX33","Off-Peak","5047","5654","0.892642377"
"2020-01","Bronx","1","LCL/LTD","BX33","Peak","2162","2978","0.725990598"
"2020-01","Bronx","2","LCL/LTD","BX33","Off-Peak","1072","1207","0.888152444"
"2020-01","Bronx","2","LCL/LTD","BX33","Peak","483","577","0.837088388"
"2020-01","Bronx","1","LCL/LTD","BX34","Off-Peak","5131","6060","0.84669967"
"2020-01","Bronx","1","LCL/LTD","BX34","Peak","1608","2283","0.704336399"
"2020-01","Bronx","2","LCL/LTD","BX34","Off-Peak","1560","1948","0.800821355"
"2020-01","Bronx","2","LCL/LTD","BX34","Peak","796","859","0.926658906"
"2020-01","Bronx","1","LCL/LTD","BX35","Off-Peak","14163","19030","0.744245927"
"2020-01","Bronx","1","LCL/LTD","BX35","Peak","5430","8742","0.621139327"
"2020-01","Bronx","2","LCL/LTD","BX35","Off-Peak","4470","5977","0.747866823"
"2020-01","Bronx","2","LCL/LTD","BX35","Peak","1700","2268","0.749559083"
"2020-01","Bronx","1","LCL/LTD","BX36","Off-Peak","23411","31649","0.739707416"
