year,month,weather_type,value
2000,01,average_percipitation,0.1
2001,01,average_percipitation,0.1
2002,01,average_percipitation,0.06
2003,01,average_percipitation,0.07
2004,01,average_percipitation,0.07
2005,01,average_percipitation,0.15
2006,01,average_percipitation,0.16
2007,01,average_percipitation,0.12
2008,01,average_percipitation,0.09
2009,01,average_percipitation,0.1
2010,01,average_percipitation,0.07
2011,01,average_percipitation,0.16
2012,01,average_percipitation,0.1
2013,01,average_percipitation,0.09
2014,01,average_percipitation,0.09
2015,01,average_percipitation,0.17
2016,01,average_percipitation,0.14
2017,01,average_percipitation,0.16
2018,01,average_percipitation,0.07
2019,01,average_percipitation,0.12
2020,01,average_percipitation,0.06
2021,01,average_percipitation,0.07
2022,01,average_percipitation,0.14
2023,01,average_percipitation,0.14
2024,01,average_percipitation,0.17
2000,01,avg_temp,31.3
2001,01,avg_temp,33.6
2002,01,avg_temp,39.9
2003,01,avg_temp,27.5
2004,01,avg_temp,24.7
2005,01,avg_temp,31.3
2006,01,avg_temp,40.9
2007,01,avg_temp,37.5
2008,01,avg_temp,36.5
2009,01,avg_temp,27.9
2010,01,avg_temp,32.5
2011,01,avg_temp,29.7
2012,01,avg_temp,37.3
2013,01,avg_temp,35.1
2014,01,avg_temp,28.6
2015,01,avg_temp,29.9
2016,01,avg_temp,34.5
2017,01,avg_temp,38.0
2018,01,avg_temp,31.7
2019,01,avg_temp,32.5
2020,01,avg_temp,39.1
2021,01,avg_temp,34.8
2022,01,avg_temp,30.3
2023,01,avg_temp,43.5
2000,01,max_precipitation,0.84
2001,01,max_precipitation,0.83
2002,01,max_precipitation,0.62
2003,01,max_precipitation,1.52
2004,01,max_precipitation,0.56
2005,01,max_precipitation,1.03
2006,01,max_precipitation,1.17
2007,01,max_precipitation,1.52
2008,01,max_precipitation,1.29
2009,01,max_precipitation,1.19
2010,01,max_precipitation,1.25
2011,01,max_precipitation,1.29
2012,01,max_precipitation,1.38
2013,01,max_precipitation,0.9
2014,01,max_precipitation,0.5
2015,01,max_precipitation,2.1
2016,01,max_precipitation,2.31
2017,01,max_precipitation,1.18
2018,01,max_precipitation,0.76
2019,01,max_precipitation,1.33
2020,01,max_precipitation,0.85
2021,01,max_precipitation,0.78
2022,01,max_precipitation,1.16
2023,01,max_precipitation,0.9
2024,01,max_precipitation,1.73
2000,01,max_snow_depth,5
2001,01,max_snow_depth,9
